cip_year,project_type,source_page,department,project_name,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Safety/Security,15,Aviation Facilities,Airfield Rescue and Fire Fighting,,,1645957,1645957,0,0,0,0
2007,Pavement Maintenance / Construction,15,Aviation Facilities,Airfield Surface Repair,,,5634104,5634104,0,0,0,0
2007,Environmental,15,Aviation Facilities,Asbestos Abatement,,,5895702,5895702,0,0,0,0
2007,Aviation Land Acquisition,15,Aviation Facilities,Aviation Commercial Development,,,16604904,16604904,0,0,0,0
2007,Terminal,15,Aviation Facilities,Baggage Claim Renovation,,,15101701,15101701,0,0,0,0
2007,Safety/Security,15,Aviation Facilities,Bio-Explosive Detection System,,,719224,719224,0,0,0,0
2007,Environmental,15,Aviation Facilities,Blast Fence Reconstruction- Love Field,,,3893557,3893557,0,0,0,0
2007,Parking,15,Aviation Facilities,Computerized Parking and Taxi System,,,1461494,1461494,0,0,0,0
2007,Safety/Security,15,Aviation Facilities,Controlled Access Security,,,9209273,9209273,0,0,0,0
2007,Environmental,16,Aviation Facilities,Electrical System Upgrade,,,63145,63145,0,0,0,0
2007,Environmental,16,Aviation Facilities,Environmental Programs,,,2340397,2340397,0,0,0,0
2007,Terminal,16,Aviation Facilities,Equipment Maintenance Facility- Dallas Executive Airport,,,903358,903358,0,0,0,0
2007,Landscaping,16,Aviation Facilities,Landscaping,,,3790242,3790242,0,0,0,0
2007,Terminal,16,Aviation Facilities,Master Plan Study,,,264702,264702,0,0,0,0
2007,Parking,16,Aviation Facilities,Parking Garage Expansion,,,16738594,16738594,0,0,0,0
2007,Safety/Security,16,Aviation Facilities,Pavement Condition Analysis Equipment,,,111834,111834,0,0,0,0
2007,Terminal,16,Aviation Facilities,Public Safety Offices,,,1000000,1000000,0,0,0,0
2007,Pavement Maintenance / Construction,16,Aviation Facilities,Reconstruction of Airfield Pavement,,,5191048,5191048,0,0,0,0
2007,Pavement Maintenance / Construction,16,Aviation Facilities,Replace West Concourse Air Carrier Apron,,,9183442,9183442,0,0,0,0
2007,Parking,17,Aviation Facilities,Roadway and Parking Lot Improvements,,,2068889,2068889,0,0,0,0
2007,Terminal,17,Aviation Facilities,Roof Renovation,,,3403938,3403938,0,0,0,0
2007,Pavement Maintenance / Construction,17,Aviation Facilities,Runway Safety Area Enhancements,,,942000,942000,0,0,0,0
2007,Safety/Security,17,Aviation Facilities,Signage Improvements,,,138666,138666,0,0,0,0
