cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2013,year_2014,year_2015,future_cost,project_total,start_year,end_year
2012,16,Aviation Facilities,Airfield Drainage - Master Plan,Major Maintenance,Capital Construction,Citywide,4th/12,2919500,2466581,452919,0,0,0,0,2919500,,
2012,16,Aviation Facilities,Asbestos Abatement - Love Field,Environmental,Capital Construction,Citywide,Various,3973065,3871430,101635,0,0,0,0,3973065,,
2012,16,Aviation Facilities,Aviation Land Acquisition,Aviation Land Acquisition,Capital Construction,Citywide,Various,19222844,18875044,347800,0,0,0,0,19222844,,
2012,16,Aviation Facilities,Bio-Explosive Detection System,Safety/Security,Federal AIP Grant,Citywide,Various,1736311,1556046,180265,0,0,0,0,1736311,,
2012,16,Aviation Facilities,Blast Fence Reconstruction- Love Field,Environmental,Capital Construction / Federal AIP Grant,Citywide,4th/13,3311085,3174495,136590,0,0,0,0,3311085,,
2012,16,Aviation Facilities,Central Receiving Facility,Major Maintenance,Capital Construction,Citywide,3rd/13,713895,665014,48881,0,0,0,0,713895,,
2012,16,Aviation Facilities,Computerized Parking and Taxi System - Love Field,Parking,Capital Construction,Citywide,Various,1461494,1386921,74573,0,0,0,0,1461494,,
2012,16,Aviation Facilities,Construction of Taxi Cab Holding Area,Pavement Maintenance / Construction,Capital Construction,Citywide,3rd/13,1219473,1219078,395,0,0,0,0,1219473,,
2012,16,Aviation Facilities,Controlled Access Security - Love Field,Safety/Security,Capital Construction / Aviation AIP Grant,Citywide,Various,7598820,6929875,668945,0,0,0,0,7598820,,
2012,16,Aviation Facilities,Dalfort Building Demolition,Aviation Land Acquisition,Capital Construction,Citywide,4th/13,670529,158,670372,0,0,0,0,670529,,
2012,16,Aviation Facilities,Dallas Executive Airport Drainage and Grading Master Plan,Major Maintenance,Capital Construction,Citywide,4th/12,548000,507357,40643,0,0,0,0,548000,,
2012,17,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,Environmental,Aviation AIP Grant / Capital Construction,Citywide,Various,8544172,8425430,118743,0,0,0,0,8544172,,
2012,17,Aviation Facilities,Landscaping - Love Field,Landscaping,Capital Construction,Citywide,Various,4090247,3815855,274392,0,0,0,0,4090247,,
2012,17,Aviation Facilities,Love Field Modernization Program,Love Field Major Maintenance,Capital Construction,Citywide,2nd/15,11611752,1406877,10204875,8421359,0,0,0,20033111,2013,2013
