cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,year_2014,year_2015,year_2016,year_2017
2013,Environmental,16,Aviation Facilities,Airfield Drainage - Master Plan,ROW1.1,,,2919500,2919500,0,0,0,0
2013,Pavement Maintenance / Construction,16,Aviation Facilities,Airfield Surface Repair - Love Field,ROW1.2,,,91627,91627,0,0,0,0
2013,Pavement Maintenance / Construction,16,Aviation Facilities,Airfield Surface Repair - Love Field,ROW1.3,,,5099195,5099195,0,0,0,0
2013,Terminal,16,Aviation Facilities,Airport Planning and Advisory Services,ROW2.1,,,1155000,1155000,0,0,0,0
2013,Environmental,16,Aviation Facilities,Asbestos Abatement - Love Field,ROW3.1,,,3973065,3973065,0,0,0,0
2013,Aviation Land Acquisition,16,Aviation Facilities,Aviation Land Acquisition,ROW4.1,,,19222844,19222844,0,0,0,0
2013,Safety/Security,16,Aviation Facilities,Bio-Explosive Detection System,ROW5.1,,,1993856,1993856,0,0,0,0
2013,Environmental,16,Aviation Facilities,Blast Fence Reconstruction- Love Field,ROW6.1,,,583461,583461,0,0,0,0
2013,Environmental,16,Aviation Facilities,Blast Fence Reconstruction- Love Field,ROW6.2,,,2727624,2727624,0,0,0,0
2013,Safety/Security,16,Aviation Facilities,Canine Explosive Detection Facility,ROW7.1,,,100655,100655,0,0,0,0
2013,Safety/Security,16,Aviation Facilities,Canine Explosive Detection Facility,ROW7.2,,,122451,122451,0,0,0,0
2013,Terminal,16,Aviation Facilities,Central Receiving Facility,ROW8.1,,,713895,713895,0,0,0,0
2013,Parking,17,Aviation Facilities,Computerized Parking and Taxi System - Love Field,ROW9.1,,,1461494,1461494,0,0,0,0
2013,Pavement Maintenance / Construction,17,Aviation Facilities,Construction of Taxi Cab Holding Area,ROW10.1,,,1503225,1503225,0,0,0,0
2013,Safety/Security,17,Aviation Facilities,Controlled Access Security - Love Field,ROW11.1,,,6348566,6348566,0,0,0,0
2013,Safety/Security,17,Aviation Facilities,Controlled Access Security - Love Field,ROW11.2,,,1250254,1250254,0,0,0,0
2013,Love Field Major Maintenance,17,Aviation Facilities,Customs & Border Patrol- Love Field,ROW12.1,,,1128247,1128247,0,0,0,0
2013,Aviation Land Acquisition,17,Aviation Facilities,Dalfort Building Demolition,ROW13.1,,,7066706,7066706,0,0,0,0
2013,Environmental,17,Aviation Facilities,Dallas Executive Airport Drainage and Grading Master Plan,ROW14.1,,,548000,548000,0,0,0,0
2013,Environmental,17,Aviation Facilities,Dallas Executive Stormwater Outflow,ROW14.2,,,1157896,1157896,0,0,0,0
2013,Environmental,17,Aviation Facilities,Dallas Executive Stormwater Outflow,ROW14.3,,,190877,190877,0,0,0,0
2013,Environmental,17,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,ROW15.1,,,6235185,6235185,0,0,0,0
2013,Environmental,17,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,ROW15.2,,,2558076,2558076,0,0,0,0
2013,Environmental,17,Aviation Facilities,FAA Voluntary Airport Low Emission Grant,ROW16.1,,,1978179,1978179,0,0,0,0
2013,Landscaping,18,Aviation Facilities,Landscaping - Love Field,ROW17.1,,,4090247,4090247,0,0,0,0
2013,Love Field Major Maintenance,18,Aviation Facilities,Love Field Modernization Program,ROW18.1,2014,2014,8141652,13267495,5125843,0,0,0
2013,Terminal,18,Aviation Facilities,Love Field North and West Airfield Lighting Vaults Relocation,ROW18.2,,,4209798,4209798,0,0,0,0
2013,Pavement Maintenance / Construction,18,Aviation Facilities,"Love Field Perimeter Rd., Rehab- Phase I",ROW18.3,,,1395000,1395000,0,0,0,0
2013,Love Field Major Maintenance,18,Aviation Facilities,Love Field Platting,ROW18.4,,,1390013,1390013,0,0,0,0
2013,Terminal,18,Aviation Facilities,Love Field Wildlife Hazard Assessment Study,ROW18.5,,,44226,44226,0,0,0,0
2013,Terminal,18,Aviation Facilities,Love Field Wildlife Hazard Assessment Study,ROW18.6,,,90012,90012,0,0,0,0
2013,Terminal,18,Aviation Facilities,Maintenance Facility - Love Field,ROW19.1,,,6712772,6712772,0,0,0,0
2013,Terminal,18,Aviation Facilities,Master Plan Study - Love Field,ROW20.1,,,264702,264702,0,0,0,0
2013,Parking,18,Aviation Facilities,Parking Garage Expansion - Love Field,ROW21.1,,,16738425,16738425,0,0,0,0
2013,Love Field Major Maintenance,18,Aviation Facilities,People-Mover Connector,ROW22.1,,,5311092,5311092,0,0,0,0
2013,Love Field Major Maintenance,18,Aviation Facilities,Program Management for Love Field Modernization Program (LFMP) and Capital Improvement Projects (CIP),ROW23.1,,,18541854,18541854,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,"Reconstruction and Extension of Taxiway ""L""",ROW24.1,,,11041866,11041866,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,"Reconstruction of Taxiway ""C""",ROW24.2,,,6971364,6971364,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,Replace West Concourse Air Carrier Apron - Love Field,ROW25.1,,,7106496,7106496,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,Replace West Concourse Air Carrier Apron - Love Field,ROW25.2,,,501892,501892,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,Runway 13L/31R Joint Reseal,ROW26.1,,,2758433,2758433,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,Runway Enhancement-13L/31R,ROW27.1,,,9296127,9296127,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,Runway Safety Area Enhancements,ROW28.1,,,264659,264659,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,Runway Safety Area Enhancements,ROW28.2,,,11743080,11743080,0,0,0,0
2013,Safety/Security,19,Aviation Facilities,Signage Improvements - Love Field,ROW29.1,,,320999,320999,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,Taxiway or Apron Repairs - Dallas Executive Airport,ROW30.1,,,152213,152213,0,0,0,0
2013,Pavement Maintenance / Construction,19,Aviation Facilities,Taxiway or Apron Repairs - Dallas Executive Airport,ROW30.2,,,559511,559511,0,0,0,0
2013,Love Field Major Maintenance,19,Aviation Facilities,Taxiway Reconstruction and Extension,ROW30.3,,,1671137,1671137,0,0,0,0
2013,Pavement Maintenance / Construction,20,Aviation Facilities,"Taxiway Shoulder Reconstruction (A, M, & D)",ROW30.4,,,2879969,2879969,0,0,0,0
2013,Terminal,20,Aviation Facilities,Terminal Improvements - Love Field,ROW31.1,,,14506585,14506585,0,0,0,0
2013,Terminal,20,Aviation Facilities,Terminal Renovation - Dallas Executive Airport,ROW31.2,,,1867457,1867457,0,0,0,0
2013,Terminal,20,Aviation Facilities,Terminal Renovation - Dallas Executive Airport,ROW31.3,,,6620801,6620801,0,0,0,0
2013,Environmental,20,Aviation Facilities,TxDOT Grants Vehicle Program,ROW32.1,,,700000,700000,0,0,0,0
2013,Terminal,20,Aviation Facilities,Vertiport Lighting Upgrade,ROW33.1,,,250000,250000,0,0,0,0
2013,Police Facilities,25,City Facilities,Bexar Street Police Substation,ROW34.1,,,500000,500000,0,0,0,0
