cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2016,year_2017,year_2018
2015,3rd/15,14,Aviation Facilities,Administrative Office Relocation,,,,,,,881650,881650,0,0,0
2015,Various,14,Aviation Facilities,"Airport Perimeter Roads Rehabilitation, Sections 1 & 2 (Design)",,,,,,,0,1000000,1000000,0,0
2015,3rd/14,14,Aviation Facilities,Airport Planning and Advisory Services,,,,,,,3405000,3405000,0,0,0
2015,Various,14,Aviation Facilities,ARFF Truck 2 Replacement,,,,,,,0,461450,461450,0,0
2015,Various,14,Aviation Facilities,ARFF Vehicle,,,,,,,1000000,1000000,0,0,0
2015,Various,14,Aviation Facilities,Aviation Land Acquisition,,,,,,,19222844,19222844,0,0,0
2015,Various,14,Aviation Facilities,Aviation Parking Garage,,,,,,,329863,329863,0,0,0
2015,Various,14,Aviation Facilities,Computerized Parking and Taxi System - Love Field,,,,,,,3461494,3461494,0,0,0
2015,Various,14,Aviation Facilities,Construct Taxicab Queuing Lot over Tom Braniff Channel (Construction),,,,,,,0,3684212,3684212,0,0
2015,2nd/17,14,Aviation Facilities,Conversion of Runway 18/36 to Taxiway,,,,,,,575660,575660,0,0,0
2015,Various,14,Aviation Facilities,Dallas Executive Airport Platting,,,,,,,387000,387000,0,0,0
2015,Various,14,Aviation Facilities,Dallas Executive Airport Runway Replacement,,,,,,,7069800,7069800,0,0,0
2015,2nd/17,15,Aviation Facilities,Intersection of 18/36 Reconstruction and Rehabilitation,,,,,,,1102660,1102660,0,0,0
2015,1st/15,15,Aviation Facilities,Love Field Employee Parking Garage,,,,,,,3267388,3267388,0,0,0
2015,Various,15,Aviation Facilities,Love Field Modernization Program,,,,,,,20028000,20028000,0,0,0
2015,2nd/15,15,Aviation Facilities,Love Field Modernization Program,,,,,,,6629376,9842637,3213261,0,0
2015,3rd/15,15,Aviation Facilities,"Love Field Perimeter Rd., Rehab- Phase I",,,,,,,1395000,1395000,0,0,0
2015,3rd/15,15,Aviation Facilities,Love Field Platting,,,,,,,1472510,1472510,0,0,0
2015,Various,15,Aviation Facilities,Miscellaneous Storm Drainage Improvements,,,,,,,0,1000000,1000000,0,0
2015,Various,15,Aviation Facilities,Parking Garage Expansion - Love Field,,,,,,,16738425,16738425,0,0,0
2015,Various,15,Aviation Facilities,Passenger Facility Charge Program,,,,,,,39176805,39176805,0,0,0
2015,Various,15,Aviation Facilities,Pavement Condition Analysis Equipment,,,,,,,2637661,2637661,0,0,0
2015,4th/15,15,Aviation Facilities,People-Mover Connector,,,,,,,5311092,5311092,0,0,0
2015,4th/17,15,Aviation Facilities,Police Hangar and Apron at Dallas Executive Airport,,,,,,,50000,50000,0,0,0
2015,Various,16,Aviation Facilities,Program Management for Love Field Modernization Program (LFMP) and Capital Improvement Projects (CIP),,,,,,,23534778,23534778,0,0,0
2015,Various,16,Aviation Facilities,Redbird Commemorative Air Force Project,,,,,,,2000000,2000000,0,0,0
2015,Various,16,Aviation Facilities,Rehabilitate Taxiway B from B1 to B3 and Connectors B3 & B4 (Construction),,,,,,,0,619052,619052,0,0
2015,Various,16,Aviation Facilities,Runway 18-36 Conversion Phase 1 (Construction),,,,,,,0,3640454,1355948,2284506,0
2015,1st/16,16,Aviation Facilities,Runway Hold Position Relocation,,,,,,,555000,555000,0,0,0
2015,Various,16,Aviation Facilities,Security Controls Enhancements (Construction),,,,,,,0,1000000,1000000,0,0
2015,2nd/17,16,Aviation Facilities,Taxiway B Reconstruction and Rehabilitation,,,,,,,932560,932560,0,0,0
2015,4th/17,16,Aviation Facilities,Tom Braniff Channel Cover Project,,,,,,,250000,250000,0,0,0
2015,Various,21,City Facilities,Animal Shelter - Major Maintenance,,,,,,,33900,33900,0,0,0
2015,Various,21,City Facilities,Animal Shelter - Major Maintenance,,,,,,,122391,122391,0,0,0
2015,Various,21,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 10),,,,,,,9000623,22549623,0,0,13549000
2015,Various,21,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 12),,,,,,,1193791,1193791,0,0,0
2015,Various,21,City Facilities,Central Library - 7th Floor Interior Renovation,,,,,,,258616,258616,0,0,0
2015,3rd/16,21,City Facilities,Central Library- 7th Floor Renovation,,,,,,,3036363,3036363,0,0,0
2015,3rd/16,21,City Facilities,Central Library- 7th Floor Renovation,,,,,,,2336671,2336671,0,0,0
2015,Various,21,City Facilities,CIP Engineering - Animal Control Facilities,,,,,,,125151,125151,0,0,0
2015,Various,21,City Facilities,CIP Engineering - City Facilities,,,,,,,506321,506321,0,0,0
2015,Various,21,City Facilities,CIP Engineering - Fire Facilities,,,,,,,11589,11589,0,0,0
2015,Various,21,City Facilities,City Facilities - Fair Park and Other Park Facility Repairs,,,,,,,0,1000000,1000000,0,0
2015,Various,21,City Facilities,City Facilities - Major Maintenance,,,,,,,2719571,6114571,3395000,0,0
2015,Various,22,City Facilities,City Facilities - Police Facilities Safety Improvements,,,,,,,0,1000000,1000000,0,0
2015,Various,22,City Facilities,City Facility Major Maintenance - Various Projects,,,,,,,3014104,3014104,0,0,0
2015,4th/17,22,City Facilities,City Hall - Electrical System Renovations,,,,,,,4959184,4959184,0,0,0
2015,3rd/15,22,City Facilities,City Hall - Install Automatic Fire Alarm,,,,,,,1693540,1693540,0,0,0
2015,4th/15,22,City Facilities,City Hall - Tank Replacement,,,,,,,1000000,1000000,0,0,0
2015,Various,22,City Facilities,City Hall Data Center - Renovations,,,,,,,5500000,5500000,0,0,0
2015,Various,22,City Facilities,Contingency,,,,,,,37811,37811,0,0,0
2015,Various,22,City Facilities,Contingency,,,,,,,1369313,1369313,0,0,0
2015,Various,22,City Facilities,Contingency,,,,,,,71058,71058,0,0,0
2015,Various,22,City Facilities,Contingency,,,,,,,149682,149682,0,0,0
2015,Various,22,City Facilities,Contingency Reserve - 1998 Bond Program Fire Facilities Proposition,,,,,,,178911,178911,0,0,0
2015,1st/16,22,City Facilities,Cypress Waters Public Safety Facility,,,,,,,261850,261850,0,0,0
2015,Various,23,City Facilities,Farmers Market Improvements,,,,,,,6624027,6624027,0,0,0
2015,Various,23,City Facilities,Farmers Market Shed No. 2 - Renovations,,,,,,,3154400,3154400,0,0,0
2015,1st/16,23,City Facilities,Fire Museum - Slab Replacement,,,,,,,90000,90000,0,0,0
