cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2019,year_2020,year_2021,year_2022,year_2023,project_total,start_year,end_year
2018,13,Aviation,Airport Planning and Advisory Services,U_1725,F_0131,Citywide,,4905000,3407454,1497546,1000000,1000000,1500000,1500000,1500000,11405000,2019,2023
2018,13,Aviation,LFMP-Aviation CIP,U_3110,F_B478,Citywide,,20028000,20028000,0,0,0,0,0,0,20028000,,
2018,13,Aviation,Airfield Signage,U_7713,F_0131,Citywide,,598854,598854,0,0,0,0,0,0,598854,,
2018,13,Aviation,Aviation Parking Garage,U_8738,F_0131,Citywide,,757407,843635,86229,3000000,2000000,0,0,0,5757407,2019,2020
2018,13,Aviation,LF Field Maintenance Facility,U_8748,F_0131,Citywide,,7218648,7180460,38189,0,0,0,0,0,7218648,,
2018,13,Aviation,Rehab TWY B PH III RWY 31R-TWY B1,U_D015,F_A477,Citywide,,1262000,0,1262000,15800000,0,0,0,0,17062000,2019,2019
2018,13,Aviation,TWY Rehab DB4 TWY B PH IV Extend TWY M to,U_D017,F_A477,Citywide,,1493500,0,1493500,10805000,0,0,0,0,12298500,2019,2019
2018,13,Aviation,Reconstruct RWY 13R 31L,U_D019,F_A477,Citywide,,5096677,0,5096677,0,48463750,0,0,0,53560427,2020,2020
2018,13,Aviation,Love Field Modernization Program,U_LFMP,F_0131,Citywide,,12963413,12802078,161335,0,0,0,0,0,12963413,,
2018,13,Aviation,DEA Runway Replacement,U_P873,F_0131,3,,5838793,5786066,52727,0,0,0,0,0,5838793,,
2018,13,Aviation,Lemmon Avenue Garage Repairs,U_P915,F_0131,Citywide,,1294224,1228209,66016,0,0,0,0,0,1294224,,
2018,13,Aviation,Runway Hold Position Relocation,U_P919,F_0131,Citywide,,2029682,2025892,3790,0,0,0,0,0,2029682,,
2018,13,Aviation,Project Redbird Commemorative Air Force,U_P928,F_0131,3,,2000000,0,2000000,0,0,0,0,0,2000000,,
2018,13,Aviation,Conversion of Runway 18-36 to Taxiway,U_P935,F_0131,Citywide,,868141,762604,105537,0,0,0,0,0,868141,,
2018,13,Aviation,Intersection Rehabilitation of 18-36 Reconstruction and,U_P941,F_0131,Citywide,,4420827,4192412,228415,0,0,0,0,0,4420827,,
2018,13,Aviation,Taxiway B Rehabilitation Reconstruction and,U_P942,F_0131,Citywide,,946760,851161,95600,0,0,0,0,0,946760,,
2018,14,Aviation,Taxi Queue Parking Lot,U_P949,F_0131,Citywide,,446444,196051,250393,450000,0,0,0,0,896444,2019,2019
2018,14,Aviation,Dallas Executive Airport Platting,U_P953,F_0131,3,,387000,209749,177251,0,0,0,0,0,387000,,
2018,14,Aviation,Project Runway 31R Glidescope Relocation,U_W022,F_0131,Citywide,,12592172,2518295,10073877,0,0,0,0,0,12592172,,
2018,14,Aviation,Taxiway Mitigation A 18-36 Project Runway Incursion,U_W047,F_0131,Citywide,,313183,111866,201317,0,0,0,0,0,313183,,
2018,14,Aviation,Runway Rehabilitate 18-36 Taxiway B: Runway 13L to,U_W121,F_0131,Citywide,,68360,5487,62873,0,0,0,0,0,68360,,
2018,14,Aviation,Rehabilitate Taxiway C: Taxi D to Taxi C2,U_W122,F_0131,Citywide,,0,0,0,0,654155,0,0,0,654155,2020,2020
2018,14,Aviation,Airport Sections 1 - 2 Perimeter Rd Rehabilitation,U_W123,F_0131,Citywide,,1560148,0,1560148,0,0,0,0,0,1560148,,
2018,14,Aviation,Crossfield Taxiway Reconfiguration,U_W125,F_0131,Citywide,,0,0,0,0,0,2500000,0,0,2500000,2021,2021
2018,14,Aviation,Fiber Ring [Design],U_W126,F_0131,Citywide,,1000000,0,1000000,0,0,0,0,0,1000000,,
2018,14,Aviation,Fiber Ring [Environmental],U_W127,F_0131,Citywide,,150000,0,150000,0,0,0,0,0,150000,,
2018,14,Aviation,Wild Life Cameras,U_W128,F_0131,Citywide,,1000000,0,1000000,0,0,0,0,0,1000000,,
2018,14,Aviation,Material Testing for Construction Work,U_W152,F_0131,Citywide,,551361,0,551361,0,0,0,0,0,551361,,
2018,14,Aviation,Design Taxiway M Extension - RWY 13L to 18-36,U_W153,F_0131,Citywide,,698488,698258,230,0,0,0,0,0,698488,,
2018,14,Aviation,Paving Dallas Project Executive Airport Fuel Farm and,U_W158,F_0131,3,,6024100,302679,5721421,0,0,0,0,0,6024100,,
2018,15,Aviation,Dallas Vertiport Fuel System,U_W215,F_0131,Citywide,,1000000,0,1000000,1000000,0,0,0,0,2000000,2019,2019
