cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2020,year_2021,year_2022,project_total,start_year,end_year
2019,13,Aviation,Airport Perimeter Rd Rehabilitation Sections 1 - 2,W123,Pavement Maintenance/Constructi on,Aviation Capital Program,Citywide,9/30/19,1560148,0,1560148,0,0,0,1560148,,
2019,13,Aviation,Airport Planning and Advisory Services,1725,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,5905000,4904948,1000052,1000000,1500000,1000000,9405000,2020,2022
2019,13,Aviation,Architectural Engineering Roster,W286,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/24,306000,0,306000,0,0,0,306000,,
2019,13,Aviation,Aviation Parking Garage,8738,Airport Parking,Aviation Capital Program,Citywide,9/30/25,3757407,1440006,2317401,0,0,0,3757407,,
2019,13,Aviation,Aviation Project Contingency,W131,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,3333333,1490,3331843,267453,381639,630155,4612580,2020,2022
2019,13,Aviation,Construction Management/Project Management,W371,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/24,0,0,0,1000000,250000,250000,1500000,2020,2022
2019,13,Aviation,Conversion of Runway 18-36 to Taxiway,P935,Pavement Maintenance/Constructi on,Aviation Capital Program,Citywide,9/30/19,868141,762604,105537,0,0,0,868141,,
2019,13,Aviation,Crossfield Taxiway Reconfiguration,W125,Pavement Maintenance/Constructi on,Aviation Capital Program,Citywide,9/30/23,0,0,0,4725000,25500000,0,30225000,2020,2021
2019,13,Aviation,DAL Alternate Entry,W287,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/26,2854155,0,2854155,0,3000000,23322948,29177103,2021,2022
2019,13,Aviation,DAL Elevator Study,W360,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/22,245000,0,245000,0,0,0,245000,,
2019,13,Aviation,DAL EMS Suite,W357,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/21,156000,0,156000,1000000,0,0,1156000,2020,2020
2019,13,Aviation,DAL Replacement Fire Station,W358,Safety/Security,Aviation Capital Program,Citywide,9/30/22,48000,0,48000,2000000,11000000,0,13048000,2020,2021
2019,13,Aviation,DAL Streetscape Enhancements,W387,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/24,0,0,0,2000000,6000000,5000000,13000000,2020,2022
2019,13,Aviation,DAL-Entrance Road Improvements,W167,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/20,8571988,1095000,7476988,0,0,0,8571988,,
2019,13,Aviation,Dalfort Building Demolition,P661,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/20,1550749,1050749,500000,0,0,0,1550749,,
2019,13,Aviation,Dallas Executive Airport Fuel Farm and Paving Project,W158,Pavement Maintenance/Constructi on,Aviation Capital Program,3,9/30/19,6353484,6381673,-28189,0,0,0,6353484,,
2019,13,Aviation,Dallas Vertiport Fuel System,W215,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/21,1257409,0,1257409,0,0,0,1257409,,
2019,13,Aviation,DAS Exterior Lighting Improvements,W359,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/22,245000,0,245000,1000000,0,0,1245000,2020,2020
2019,13,Aviation,DEA Extend Taxiway E,W388,Pavement Maintenance/Constructi on,Aviation Capital Program,3,9/30/22,0,0,0,0,0,44000,44000,2022,2022
2019,13,Aviation,DEA Runway Replacement,P873,Pavement Maintenance/Constructi on,Aviation Capital Program,3,9/30/19,5838793,5786066,52727,0,0,0,5838793,,
2019,13,Aviation,DEA Streetscape Enhancements,W367,Capital Improvement Program,Aviation Capital Program,3,9/30/24,250000,0,250000,0,0,2500000,2750000,2022,2022
2019,13,Aviation,DEA Taxiway Apron Infill - Design,W334,Pavement Maintenance/Constructi on,Aviation Capital Program,3,9/30/21,850000,0,850000,0,0,0,850000,,
2019,13,Aviation,DEA Taxiway B,W392,Pavement Maintenance/Constructi on,Aviation Capital Program,3,9/30/23,0,0,0,0,580000,0,580000,2021,2021
2019,14,Aviation,DEA Taxiway J,W393,Pavement Maintenance/Constructi on,Aviation Capital Program,3,9/30/22,0,0,0,0,41500,230000,271500,2021,2022
2019,14,Aviation,DEA West Development Payback,W285,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/23,100100,100100,0,4164186,3500000,0,7764286,2020,2021
2019,14,Aviation,Drainage Master Plan - Schematic Design,W133,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/25,13550000,250000,13300000,0,0,0,13550000,,
2019,14,Aviation,Elevator Upgrades,W391,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/22,0,0,0,1000000,0,0,1000000,2020,2020
2019,14,Aviation,Fiber Ring [Environmental],W127,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/18,41856,0,41856,0,0,0,41856,,
2019,14,Aviation,Intersection of 18-36 Reconstruction and Rehabilitation,P941,Pavement Maintenance/Constructi on,Aviation Capital Program,Citywide,9/30/19,4384368,4373342,11026,0,0,0,4384368,,
2019,14,Aviation,Love Field Maintenance Facility,8748,Pavement Maintenance/Constructi on,Aviation Capital Program,Citywide,9/30/19,7218648,9600438,-2381790,0,0,0,7218648,,
2019,14,Aviation,Love Field Major Maintenance,8707,Terminal,Aviation Capital Program,Citywide,9/30/24,16506585,14544866,1961719,0,0,500000,17006585,2022,2022
2019,14,Aviation,Love Field Modernization Program - LFMP,,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/20,12963413,12950287,13126,0,0,0,12963413,,
2019,14,Aviation,Love Field Parking Exp,8703,Airport Parking,Aviation Capital Program,Citywide,9/30/19,16729237,16708500,20737,0,0,0,16729237,,
2019,14,Aviation,Material Testing for Construction Work,W152,Capital Improvement Program,Aviation Capital Program,Citywide,9/30/20,551361,0,551361,0,0,0,551361,,
2019,14,Aviation,Misc Stormwater Drainage Improvements,W007,Pavement Maintenance/Constructi on,Aviation Capital Program,Citywide,9/30/19,2732300,1555368,1176932,0,0,0,2732300,,
2019,14,Aviation,Misc Taxi Lane and Apron improvements,W283,Pavement Maintenance/Constructi on,Aviation Capital Program,Citywide,9/30/24,0,0,0,0,0,2520000,2520000,2022,2022
2019,14,Aviation,Passenger Facility Charge Program,0781,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,49677487,59671946,-9994459,0,0,0,49677487,,
