cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,year_2021,year_2022,year_2023,project_total,start_year,end_year
2020,10,Aviation,Airport Planning and Advisory Services,Aviation Capital Program,Aviation Capital Program,Citywide,Ongoing,1000000,1000000,1500000,3500000,2021,2023
2020,10,Aviation,Aviation Project Reserve,Aviation Capital Program,Aviation Capital Program,Citywide,Ongoing,0,0,2000000,2000000,2023,2023
2020,10,Aviation,CONRAC,Terminal,Aviation Capital Program,Citywide,9/30/2024,28600000,0,0,28600000,2021,2021
2020,10,Aviation,Construction Management/Project Management,Aviation Capital Program,Aviation Capital Program,Citywide,9/30/2026,0,0,1000000,1000000,2023,2023
2020,10,Aviation,Crossfield Taxiway Reconfiguration,Aviation Capital Program,Aviation Capital Program,Citywide,9/30/2025,40810000,0,0,40810000,2021,2021
2020,10,Aviation,DAL Alternate Entry,Aviation Capital Program,Aviation Capital Program,Citywide,9/30/2026,30210000,0,0,30210000,2021,2021
2020,10,Aviation,DAL EMS Suite,Aviation Capital Program,Aviation Capital Program,Citywide,9/30/2021,1000000,0,0,1000000,2021,2021
2020,10,Aviation,DAL Replacement Fire Station,Safety/Security,Aviation Capital Program / FAA Grants,Citywide,9/30/2024,18700000,0,0,18700000,2021,2021
2020,10,Aviation,DAL Streetscape Enhancements,Aviation Capital Program,Aviation Capital Program,Citywide,9/30/2024,2000000,32000000,2500000,36500000,2021,2023
2020,10,Aviation,DAS Exterior Lighting Improvements,Aviation Capital Program,Aviation Capital Program,Citywide,9/30/2022,0,0,2000000,2000000,2023,2023
2020,10,Aviation,DEA Extend Taxiway E,Pavement Maintenance- Construction,Aviation Capital Program,3,9/30/2025,0,0,1215000,1215000,2023,2023
2020,10,Aviation,DEA Master Plan,Aviation Capital Program,Aviation Capital Program,3,9/30/2024,0,0,325000,325000,2023,2023
2020,10,Aviation,DEA Streetscape Enhancements,Aviation Capital Program,Aviation Capital Program,3,9/30/2024,0,0,5170000,5170000,2023,2023
2020,10,Aviation,DEA Taxiway B,Pavement Maintenance- Construction,Aviation Capital Program,3,9/30/2024,0,0,1065000,1065000,2023,2023
2020,10,Aviation,DEA Taxiway J,Pavement Maintenance- Construction,Aviation Capital Program,3,9/30/2023,0,0,415000,415000,2023,2023
2020,10,Aviation,DEA West Development Payback,Aviation Capital Program,Aviation Capital Program,3,9/30/2023,3500000,0,0,3500000,2021,2021
2020,10,Aviation,Elevator Upgrades,Aviation Capital Program,Aviation Capital Program,Citywide,9/30/2022,0,0,1000000,1000000,2023,2023
2020,10,Aviation,Love Field Major Maintenance,Terminal,Aviation Capital Program,Citywide,9/30/2026,0,0,1000000,1000000,2023,2023
2020,10,Aviation,Misc. Taxi Lane and Apron improvements,Pavement Maintenance- Construction,Aviation Capital Program,Citywide,9/30/2024,0,2520000,23730000,26250000,2022,2023
2020,11,Aviation,Reconstruct Taxiway A (Phase 1) TWY D to RWY 31 R,Pavement Maintenance- Construction,Aviation Capital Program / FAA Grants,Citywide,9/30/2024,0,5820000,28250000,34070000,2022,2023
2020,11,Aviation,Reconstruct Taxiway M (B1 to 31R),Pavement Maintenance- Construction,Aviation Capital Program / FAA Grants,Citywide,9/30/2025,0,3500000,0,3500000,2022,2022
2020,11,Aviation,Rehabilitate Taxiway C Phase 2,Pavement Maintenance- Construction,Aviation Capital Program / FAA Grants,Citywide,9/30/2024,0,12540000,0,12540000,2022,2022
2020,15,City Facilities,City Hall,City and Municipal Court Facilities,2017 Bonds,2,10/31/2022,75000,603750,1868228,2546978,2021,2023
2020,15,City Facilities,Electrical Panel Replacement at 37 Facilities,City and Municipal Court Facilities,2017 Bonds,Citywide,1/1/2021,144896,0,0,144896,2021,2021
2020,15,City Facilities,Fire Station #46,Fire Protection Facilities,2017 Bonds,3,3/15/2021,663382,0,0,663382,2021,2021
