cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2022,year_2023,project_total,future_cost,start_year,end_year
2021,17,Aviation,Airfield Pavement Evaluation,W214,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,Ongoing,521648,376045,145603,0,0,521648,1000000,,
2021,17,Aviation,Airport Emergency Operations Center,W685,Terminal,Aviation Program Capital,Citywide,09/2023,0,0,0,2000000,0,2000000,0,2022,2022
2021,17,Aviation,Airport Planning and Advisory Services,1725,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,7905000,6281995,1623005,1000000,1000000,9905000,2376995,2022,2023
2021,17,Aviation,Architectural Engineering Roster,W286,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,154500,1329,153171,0,0,154500,0,,
2021,17,Aviation,Aviation Parking Garage,8738,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,3757407,1512113,2245294,0,0,3757407,0,,
2021,17,Aviation,Central Utility Plant Updates,W396,Terminal,Aviation Program Capital,Citywide,09/2028,0,0,0,0,0,0,1000000,,
2021,17,Aviation,Common Use Platform/Common Use Self Service Kiosk (CUP/ CUSS),W683,Terminal,Aviation Program Capital,Citywide,09/2027,0,0,0,0,0,0,3300000,,
2021,17,Aviation,CONRAC,W280,Capital Program Improvement,Aviation Program Capital,Citywide,09/2027,0,0,0,0,28600000,28600000,0,2023,2023
2021,17,Aviation,Construction Management/ Project Management,W371,Capital Program Improvement,Aviation Program Capital,Citywide,09/2026,2202666,2202666,0,0,1000000,3202666,2250000,2023,2023
2021,17,Aviation,Crossfield Taxiway Reconfiguration,W125,Pavement Construction Maintenance/,FAA Grants,Citywide,09/2024,20601667,2361800,18239867,12130302,0,32731969,0,2022,2022
2021,18,Aviation,Crossfield Taxiway Reconfiguration,W799,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,09/2024,0,0,0,27500000,0,27500000,0,2022,2022
2021,18,Aviation,Customer Facility Charge,7963,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,0,622953,-622953,0,0,622953,0,,
2021,18,Aviation,DAL A/E Space Planning Implementation,W469,Terminal,Aviation Program Capital,Citywide,Ongoing,250000,0,250000,500000,0,750000,0,2022,2022
2021,18,Aviation,DAL Alternate Entry,W287,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,33064155,4405000,28659155,0,35000000,68064155,184500000,2023,2023
2021,18,Aviation,DAL Baggage Handling System,W479,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,100000,0,100000,0,0,100000,0,,
2021,18,Aviation,DAL Elevator Study,W360,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,371300,371040,260,0,0,371300,0,,
2021,18,Aviation,DAL EMS Suite,W357,Capital Program Improvement,Aviation Program Capital,Citywide,09/2022,2308000,186000,2122000,0,0,2308000,0,,
2021,18,Aviation,DAL Replacement Fire Station,W358,Safety/ Security,Aviation Program Capital / FAA Grants,Citywide,Ongoing,20457500,1394265,19063235,0,0,20457500,0,,
2021,18,Aviation,DAL Streetscape Enhancements,W387,Capital Program Improvement,Aviation Program Capital,Citywide,09/2024,5330000,3356498,1973502,22650000,1800000,29780000,6000000,2022,2023
2021,18,Aviation,DAL-Entrance Road Improvements,W167,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,14997303,14706893,290410,0,0,14997303,0,,
2021,18,Aviation,Dallas Vertiport Fuel System,W215,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,1257409,0,1257409,0,0,1257409,0,,
2021,18,Aviation,DAS Exterior Lighting Improvements,W359,Capital Program Improvement,Aviation Program Capital,Citywide,09/2023,1245000,276071,968929,0,0,1245000,0,,
2021,19,Aviation,DEA Economic Development,W605,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,0,0,0,0,0,0,2000000,,
2021,19,Aviation,DEA Extend Taxiway E,W388,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,09/2026,463300,0,463300,0,0,463300,1222000,,
2021,19,Aviation,DEA Streetscape Enhancements,W367,Capital Program Improvement,Aviation Program Capital,Citywide,09/2024,517500,517202,298,0,5170000,5687500,9000000,2023,2023
2021,19,Aviation,DEA Taxiway Apron Infill - Design,W334,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,Ongoing,850000,0,850000,0,0,850000,0,,
2021,19,Aviation,DEA Taxiway J,W393,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,09/2026,0,0,0,0,0,0,282500,,
2021,19,Aviation,DEA West Development Payback,W285,Capital Program Improvement,Aviation Program Capital,Citywide,09/2022,7764286,100100,7664186,0,0,7764286,0,,
2021,19,Aviation,Drainage Master Plan - Schematic Design,W133,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,13401638,101638,13300000,0,0,13401638,0,,
2021,19,Aviation,Elevator Upgrades,W391,Capital Program Improvement,Aviation Program Capital,Citywide,09/2022,873700,0,873700,0,126300,1000000,0,2023,2023
2021,19,Aviation,Garage A and Terminal Roadway Rebuild,W687,Terminal,Aviation Program Capital,Citywide,Ongoing,0,0,0,0,0,0,277500000,,
2021,19,Aviation,K9 Facility,W684,Safety/ Security,Aviation Program Capital,Citywide,09/2026,0,0,0,0,1000000,1000000,0,2023,2023
2021,19,Aviation,Love Fld Major Maintenance,8707,Terminal,Aviation Program Capital,Citywide,Ongoing,16506585,14506585,2000000,0,0,16506585,0,,
2021,19,Aviation,Material Testing for Construction Work,W152,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,551361,0,551361,0,0,551361,0,,
2021,19,Aviation,Passenger Facility Charge Program,0781,Capital Program Improvement,Aviation Program Capital,Citywide,Ongoing,69266427,84671946,-15405519,0,0,84671946,0,,
2021,20,Aviation,People-mover Connector,8710,Capital Program Improvement,FAA Grants,Citywide,Ongoing,5311092,5012736,298356,0,0,5311092,0,,
2021,20,Aviation,Reconstruct RWY 13R 31L,D019,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,09/2022,147354044,85998576,138178586,0,0,147354044,0,,
2021,20,Aviation,Reconstruction of Runway 13L/31R at Dallas Love Field Airport,W609,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,09/2027,0,0,0,0,0,0,3000000,,
2021,20,Aviation,Reconstruction of Runway 13L/31R at Dallas Love Field Airport,W797,Pavement Construction Maintenance/,FAA Grants,Citywide,09/2027,0,0,0,0,0,0,6600000,,
2021,20,Aviation,Rehabilitate Taxiway C Phase 2,W281,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,09/2024,193200,444000,-250800,0,0,444000,0,,
2021,20,Aviation,Rehabilitate Taxiway C: Taxi D to Taxi C,W122,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,09/2022,43341140,21635432,21705707,0,0,43341140,0,,
2021,20,Aviation,Reonstruct Taxiway A (Phase 1) TWY D to,W288,Pavement Construction Maintenance/,Aviation Program Capital,Citywide,09/2024,0,589500,-589500,0,1975200,1975200,22028760,2023,2023
2021,20,Aviation,Reonstruct Taxiway A (Phase 1) TWY D to,W798,Pavement Construction Maintenance/,FAA Grants,Citywide,09/2024,0,0,0,0,3600000,3600000,10200000,2023,2023
2021,20,Aviation,Grand Total,,,,,,0,0,0,0,0,0,0,,
2021,24,City Facilities,10345 Webb Chapel Road,VJ05,Homeless Services Housing,2017 Bonds,13,09/2023,7320,7320,0,0,0,7320,0,,
2021,24,City Facilities,12000 Greenville Avenue,VJ02,Homeless Services Housing,2017 Bonds,10,09/2023,5000,2652,2349,0,0,5000,0,,
2021,24,City Facilities,1805 North Haskell Avenue,VJ03,Homeless Services Housing,2017 Bonds,14,09/2023,5000,3247,1753,0,0,5000,0,,
2021,24,City Facilities,19393 Preston Rd [Candlewood Suites],VJ06,Homeless Services Housing,2017 Bonds,12,09/2023,510490,10490,500000,0,0,510490,0,,
