cip_year,source_page,department,project_name,project_id,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2023,year_2024,project_total,start_year,end_year
2022,16,Aviation,Airfield Pavement Evaluation,W214,Pavement Maintenance/ Construction,Aviation Capital Program,Citywide,Not Started,521648,505587,16061,1000000,1000000,2521648,2023,2024
2022,16,Aviation,Airport Emergency Operations Center,W685,Terminal,Aviation Capital Program,Citywide,09/2024,2000000,0,2000000,0,0,2000000,,
2022,16,Aviation,Airport Planning and Advisory Services,1725,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,12905000,6283184,6621816,1000000,1000000,14905000,2023,2024
2022,16,Aviation,Architectural Engineering Roster,W286,Capital Improvement Program,Aviation Capital Program,Citywide,09/2023,154500,1329,153171,0,0,154500,,
2022,16,Aviation,Aviation Parking Garage,8738,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,3757407,1653184,2104223,0,0,3757407,,
2022,16,Aviation,CONRAC,W280,Capital Improvement Program,Aviation Capital Program,Citywide,Not Started,0,0,0,1000000,0,1000000,2023,2023
2022,16,Aviation,Construction Management/ Project Management,W371,Capital Improvement Program,Aviation Capital Program,Citywide,09/2028,1428666,1430186,-1520,3000000,3000000,7428666,2023,2024
2022,17,Aviation,Crossfield Taxiway Reconfiguration,W125,Pavement Maintenance/ Construction,Aviation Capital Program / Aviation Capital Program - Commercial Paper,Citywide,09/2024,54888718,2388081,52500637,0,0,54888718,,
2022,17,Aviation,DAL A/E Space Planning Implementation,W469,Terminal,Aviation Capital Program,Citywide,09/2025,750000,0,750000,0,0,750000,,
2022,17,Aviation,DAL Alternate Entry,W287,Capital Improvement Program,Aviation Capital Program,Citywide,Not Started,30210000,0,30210000,0,0,30210000,,
2022,17,Aviation,DAL Elevator Study,W360,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,371300,371040,260,100000,0,471300,2023,2023
2022,17,Aviation,DAL EMS Suite,W357,Capital Improvement Program,Aviation Capital Program,Citywide,09/2023,1308000,187027,1120973,200000,0,1508000,2023,2023
2022,17,Aviation,DAL Replacement Fire Station,W358,Capital Improvement Program,FAA Grants / Aviation Capital Program,Citywide,09/2025,20008000,546965,19461035,0,12696188,32704188,2024,2024
2022,17,Aviation,DAL Streetscape Enhancements,W387,Capital Improvement Program,Aviation Capital Program / FAA Grants,Citywide,Not Started,28529499,3812357,24717142,6886176,818182,36233857,2023,2024
2022,18,Aviation,DAL-Entrance Road Improvements,W167,Capital Improvement Program,Aviation Capital Program,Citywide,12/2024,15020575,15029486,-8911,400000,0,15420575,2023,2023
2022,18,Aviation,Dallas Vertiport Fuel System,W215,Capital Improvement Program,Aviation Capital Program,Citywide,Not Started,1257409,0,1257409,0,0,1257409,,
2022,18,Aviation,DAS Exterior Lighting Improvements,W359,Capital Improvement Program,Aviation Capital Program,Citywide,12/2022,1865509,1864802,707,0,0,1865509,,
2022,18,Aviation,DEA Extend Taxiway E,W388,Pavement Maintenance/ Construction,Aviation Capital Program,Citywide,09/2028,463300,0,463300,858200,736000,2057500,2023,2024
2022,18,Aviation,DEA Streetscape Enhancements,W367,Capital Improvement Program,Aviation Capital Program,Citywide,09/2024,569693,569534,158,0,6500000,7069693,2024,2024
2022,18,Aviation,DEA Taxiway Apron Infill - Design,W334,Pavement Maintenance/ Construction,Aviation Capital Program,Citywide,Ongoing,850000,0,850000,0,0,850000,,
2022,18,Aviation,DEA West Development Payback,W285,Capital Improvement Program,Aviation Capital Program,Citywide,Not Started,7764286,100100,7664186,0,0,7764286,,
2022,18,Aviation,Drainage Master Plan - Schematic Design,W133,Capital Improvement Program,Aviation Capital Program,Citywide,Not Started,12800638,101638,12699000,0,0,12800638,,
2022,18,Aviation,Elevator Upgrades,W391,Capital Improvement Program,Aviation Capital Program,Citywide,09/2025,873700,0,873700,0,550000,1423700,2024,2024
2022,18,Aviation,Elevator Upgrades- Ph 2,W889,Capital Improvement Program,Aviation Capital Program,Citywide,09/2024,0,0,0,1700000,0,1700000,2023,2023
2022,18,Aviation,Elevator Upgrades- Ph 3,W890,Capital Improvement Program,Aviation Capital Program,Citywide,09/2025,0,0,0,0,1800000,1800000,2024,2024
2022,18,Aviation,Gararge A and Terminal Roadway Rebuild,W687,Capital Improvement Program,Aviation Capital Program,Citywide,Not Started,0,0,0,0,0,0,,
2022,19,Aviation,Love Fld Major Maintenance,8707,Terminal,Aviation Capital Program,Citywide,Ongoing,16506585,14506585,2000000,0,3000000,19506585,2024,2024
