cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2023,year_2024,currency_unit
2023,Stormwater Drainage Management,81,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,San Gabriel Drive 4300 Blk,W622,,,2026,,,592000.0,592000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,81,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"""Betty Jane, 10225""",VD27,,,2024,,,269515.0,269515.0,0.0,0.0,$K
2023,Stormwater Drainage Management,81,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"""El Cerrito Storm Drainage, 2470""",VD11,,,2024,,,373873.0,373873.0,0.0,0.0,$K
2023,Stormwater Drainage Management,81,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"""Greendale 1721, 1716""",VD67,,,2024,,,95529.0,95529.0,0.0,0.0,$K
2023,Stormwater Drainage Management,81,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"""Highland Road, 2447""",VD68,,,2024,,,321519.0,321519.0,0.0,0.0,$K
2023,Stormwater Drainage Management,81,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,1700 N Field Street Drainage Repair,W706,,,,,,0.0,575000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,81,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,2133 Province,W707,,,,,,0.0,575000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,81,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,2530 Blanton Outfall Repair,W834,,,,,,0.0,575000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,408 Glen Oak,W356,,,2023,,,143000.0,143000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,4126 Maybeth Drainage Relief,W709,,,,,,0.0,115000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"4209 Rosa Ct, Drainage Relief System",W710,,,2026,,,225000.0,1500000.0,1275000.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,5th Street Drainage Relief System,W711,,,,,,0.0,3615000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,6900 Royal Lane Drainage Relief System,W875,,,,,,0.0,1300000.0,156000.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Abshire Lane,VD62,,,2025,,,948500.0,948500.0,0.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"Acres/Grady Detention Basins 1 & 2, Dredging",W398,,,2024,,,1220262.0,1220262.0,0.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"Alderson, 3700",VD42,,,2025,,,1211675.0,1211675.0,0.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Alpha 6919 Drainage Relief System,W712,,,,,,0.0,480000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Alpha at Peyton (RL Area 3),W833,,,,,,0.0,7000000.0,0.0,1050000.0,$K
2023,Stormwater Drainage Management,82,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Anderson Ave @ Goodman,W399,,,2026,,,381965.0,381965.0,0.0,0.0,$K
2023,Stormwater Drainage Management,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Ash Creek - S Fork Channel Improvements at John West,W400,,,2026,,,294449.0,2485949.0,500000.0,1691500.0,$K
2023,Stormwater Drainage Management,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Ash Creek Trib 5B7 Bridge Improvement @ Peavy,W713,,,,,,0.0,1710000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Ash Creek Trib 5B7 Bridge Improvement @ Province,W714,,,,,,0.0,5400000.0,0.0,810000.0,$K
2023,Erosion Control,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Audelia 11601 (Audelia - E Bank),S702,,,,,,2500.0,2500.0,0.0,0.0,$K
2023,Stormwater Drainage Management,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Beckley @ Coombs Creek Drinage Study,W401,,,2026,,,125000.0,125000.0,0.0,0.0,$K
2023,Stormwater Drainage Management,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"Bent Creek Detention Basin, Dredging",W402,,,2024,,,124169.0,124169.0,0.0,0.0,$K
2023,Stormwater Drainage Management,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"Bethany Dr (9908), Province Ln (2008, 2016), and Peavy Pl (2334, 2340, 2344)",X013,,,,,,0.0,2205000.0,330750.0,1874250.0,$K
2023,Erosion Control,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,"Betty Jane, 10225",VD27,,,2024,,,354600.0,354600.0,0.0,0.0,$K
2023,Stormwater Drainage Management,83,FLOOD PROTECTION AND STORM DRAINAGE MANAGEMENT,Birchridge 14721,W717,,,,,,0.0,295000.0,0.0,0.0,$K
