cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,year_2024,year_2025,year_2026,year_2027,validation_label
2024,Pavement Maintenance/ Construction,16,Aviation Capital Program,Airfield Pavement Evaluation,2024,2024,Citywide,1098130,1521648,423518,0,0,0,
2024,Terminal,16,Aviation Capital Program,Airport Emergency Operations Center,2024,2024,Citywide,0,2000000,2000000,0,0,0,
2024,Capital Improvement Program,16,Aviation Capital Program,Airport Planning and Advisory Services,2024,2027,Citywide,12209784,25905000,3695216,2000000,2000000,6000000,
2024,Capital Improvement Program,16,Aviation Capital Program,Architectural Engineering Roster,2024,2027,Citywide,2113,6404500,2152387,1000000,1000000,2250000,
2024,Capital Improvement Program,16,Aviation Capital Program,Aviation Parking Garage,2024,2024,Citywide,3555794,5857407,2301612,0,0,0,
2024,Capital Improvement Program,16,Aviation Capital Program,CONRAC,2024,2024,Citywide,421184,3000800,2579616,0,0,0,
2024,Capital Improvement Program,16,Aviation Capital Program,Construction Management/ Project Management,2024,2024,Citywide,1430186,4428666,2998480,0,0,0,
2024,Terminal,16,Aviation Capital Program,DAL A/E Space Planning Implementation,2024,2024,Citywide,628032,750000,121968,0,0,0,
2024,Capital Improvement Program,16,Aviation Capital Program,DAL Alternate Entry,2024,2024,Citywide,0,24960000,24960000,0,0,0,
2024,Capital Improvement Program,16,Aviation Capital Program,DAL Love Connection Project,2025,2025,Citywide,0,18000000,0,18000000,0,0,
2024,Safety/ Security,17,Aviation Capital Program,DAL Replacement Fire Station,2024,2024,Citywide,4166501,20008000,15841499,0,0,0,
2024,Capital Improvement Program,17,Aviation Capital Program,DAL Streetscape Enhancements,2024,2024,Citywide,34206695,72320947,38114252,0,0,0,
2024,Capital Improvement Program,17,Aviation Capital Program,Dallas Vertiport Fuel System,2024,2024,Citywide,0,1182409,1182409,0,0,0,
2024,Pavement Maintenance/ Construction,17,Aviation Capital Program,DEA Extend Taxiway E,2024,2024,Citywide,971600,1321500,349900,0,0,0,
2024,Capital Improvement Program,17,Aviation Capital Program,DEA Streetscape Enhancements,2024,2025,Citywide,682754,3969851,187096,3100000,0,0,
2024,Pavement Maintenance/ Construction,17,Aviation Capital Program,DEA Taxiway Apron Infill - Design,2024,2024,Citywide,0,850000,850000,0,0,0,
2024,Capital Improvement Program,17,Aviation Capital Program,DEA West Development Payback,2024,2024,Citywide,2432193,7764286,5332093,0,0,0,
2024,Capital Improvement Program,17,Aviation Capital Program,Drainage Master Plan - Schematic Design,2024,2024,Citywide,101638,6252638,6151000,0,0,0,
2024,Terminal,17,Aviation Capital Program,Love Fld Major Maintenance,2024,2024,Citywide,14506585,18606585,4100000,0,0,0,
2024,Capital Improvement Program,17,Aviation Capital Program,Material Testing for Construction Work,2024,2024,Citywide,0,551361,551361,0,0,0,
2024,Capital Improvement Program,17,Aviation Capital Program,PC Air Replacement,2025,2027,Citywide,0,3750000,0,750000,750000,2250000,
2024,Capital Improvement Program,17,FAA Grants,People-mover Connector,2024,2024,Citywide,5012736,5311092,298356,0,0,0,
2024,Capital Improvement Program,17,Aviation Capital Program,Reconstruct Taxiway A (Phase 1) TWY D to RWY 31 R,2024,2024,Citywide,28708251,37215539,8507288,0,0,0,
2024,Pavement Maintenance/ Construction,17,Aviation Capital Program,Rehabilitate Taxiway C Phase 2,,,Citywide,444000,444000,0,0,0,0,
2024,Public Art,24,2012 Bonds,2012 PUBLIC ART ADMIN - STREETS,2024,2024,Citywide,0,67525,67525,0,0,0,
2024,Public Art,24,2012 Bonds,2012 Public Art Projects - Streets,2024,2024,Citywide,3000,75500,72500,0,0,0,
2024,Fire Protection Facilities,24,2017 Bonds,5000 Dolphin Rd - Large Tower,2024,2024,2,11377,379440,368063,0,0,0,
2024,Fire Protection Facilities,24,2017 Bonds,5000 Dolphin Rd - Small Tower,2024,2024,2,71827,232560,160733,0,0,0,
2024,City and Municipal Court Facilities,24,2006 Bonds,7800 Stemmons Renovation,2024,2024,2,1879271,2000000,120729,0,0,0,
2024,City and Municipal Court Facilities,24,2006 Bonds,ADA Improvements,2024,2024,Citywide,0,2124183,2124183,0,0,0,
2024,Major Maintenance,24,Other GO CIP - Non-Debt,ADA Improvements- Major Maintenance and Repairs,2024,2024,Citywide,356615,500000,143385,0,0,0,
2024,City and Municipal Court Facilities,24,Other GO CIP - Non-Debt,ADA Upgrades at Canton,2024,2024,Citywide,263682,630000,366318,0,0,0,
2024,Fleet/Equipment Replacement,24,Other GO CIP - Debt,Ambulance & Fire Equipment,2025,2027,Citywide,0,30000000,0,6000000,6000000,18000000,
2024,Cultural Facilities,24,2024 Bonds,Annette Strauss Square,2025,2026,14,0,575575,0,57558,518017,0,
2024,Major Maintenance,25,Other GO CIP - Non-Debt,Anticipated Critical Failures FY24,2024,2024,Citywide,158714,251608,92894,0,0,0,
2024,Fleet/Equipment Replacement,25,Other GO CIP - Debt,Apparatus Replacement,2024,2024,Citywide,33312369,33350000,37631,0,0,0,
2024,Cultural Facilities,25,2024 Bonds,AT&T Performing Arts Center,2025,2026,14,0,881032,0,88103,792929,0,
2024,Cultural Facilities,25,2024 Bonds,Bath House Cultural Center,2027,2027,9,0,1474180,0,0,0,1474180,
2024,Fire Protection Facilities,25,2024 Bonds,Belleview Garage,2026,2027,2,0,1310000,0,0,131000,1179000,
2024,Land Acquisition,25,2006 Bonds,Cadillac Heights Land Acquisition,2024,2024,4,804720,11690881,10886161,0,0,0,
2024,Fleet/Equipment Replacement,25,Other GO CIP - Debt,Case Management System,2024,2024,Citywide,3246908,3379178,132270,0,0,0,
2024,Police Facilities,25,2024 Bonds,Central Patrol - Electrical,2027,2027,2,0,655000,0,0,0,655000,
2024,Police Facilities,25,2024 Bonds,Central Patrol - Fire System,2027,2027,2,0,196500,0,0,0,196500,
2024,Police Facilities,25,2024 Bonds,Central Patrol - Locker Rooms,2027,2027,2,0,655000,0,0,0,655000,
2024,Police Facilities,25,2024 Bonds,Central Patrol - Restrooms,2027,2027,2,0,262000,0,0,0,262000,
2024,Police Facilities,25,2017 Bonds,Central Patrol Station,2024,2024,2,7456,151000,143544,0,0,0,
2024,Technology,25,2024 Bonds,City Data Center - 1000 Belleview Street,2025,2025,2,0,5000000,0,5000000,0,0,
2024,City and Municipal Court Facilities,25,2017 Bonds,City Hall,2024,2024,2,24770,1862857,1838087,0,0,0,
2024,Technology,25,Other GO CIP - Debt,City Hall Data Center - Renovations,2024,2024,Citywide,985490,5200000,4214510,0,0,0,
2024,Fire Protection Facilities,25,2024 Bonds,Clothing Warehouse P,2027,2027,2,0,16478,0,0,0,16478,
2024,Public Art,26,Other GO CIP - Debt,Confederate Monument Removal,2024,2024,Citywide,432344,455000,22656,0,0,0,
2024,Major Maintenance,26,Other GO CIP - Non-Debt,Contingency Reserve - Capital Construction,2024,2024,Citywide,3009214,3014104,4890,0,0,0,
2024,Fire Protection Facilities,26,2024 Bonds,Courts Building,2027,2027,14,0,16478,0,0,0,16478,
2024,Cultural Facilities,26,2024 Bonds,Dallas Black Dance Theatre,2027,2027,14,0,3127850,0,0,0,3127850,
2024,Fire Protection Facilities,26,2024 Bonds,Dallas Courts Garage,2027,2027,14,0,16478,0,0,0,16478,
2024,Cultural Facilities,26,2024 Bonds,Dallas Museum of Art,2025,2026,14,0,20014619,0,2001462,18013157,0,
2024,Police Facilities,26,2017 Bonds,Dallas Police Training Academy Facility,2024,2025,Citywide,0,50002000,2000,50000000,0,0,
2024,Fleet/Equipment Replacement,26,Other GO CIP - Debt,DFD Apparatus Replacement,2025,2027,Citywide,0,61000000,0,13800000,11800000,35400000,
2024,Fleet/Equipment Replacement,26,Other GO CIP - Debt,DFD Apparatus/Fleet,2024,2024,Citywide,830301,35600000,34769699,0,0,0,
2024,Fleet/Equipment Replacement,26,Other GO CIP - Debt,DFD-Ambulance Replacement,2024,2024,Citywide,4333943,4513120,179177,0,0,0,
2024,Major Maintenance,26,Other GO CIP - Non-Debt,DFR Facilities Maintenance,2025,2025,Citywide,0,7189523,0,7189523,0,0,
2024,Major Maintenance,26,Other GO CIP - Non-Debt,DFR Improvement Projects FY23,2024,2024,Citywide,913435,1750000,836565,0,0,0,
2024,Fleet/Equipment Replacement,26,Other GO CIP - Debt,DPD Helicopter,2025,2027,Citywide,0,15000000,0,7500000,0,7500000,
2024,Technology,26,Other GO CIP - Debt,DPD In-Car DVR 1/5 Annual Replacement,2024,2024,Citywide,1396128,2799118,1402990,0,0,0,
2024,Technology,27,Other GO CIP - Debt,DPD In-Car DVR Replacement,2025,2027,Citywide,0,7008000,0,1401600,1401600,4204800,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,DPD Squad Cars,2025,2027,Citywide,0,79900000,0,15500000,16100000,48300000,
2024,Technology,27,Other GO CIP - Debt,DPD TAAG Surveillance Camera 1/5 Annual,2024,2024,Citywide,2124548,3188048,1063500,0,0,0,
2024,Technology,27,Other GO CIP - Debt,DPD TAAG Surveillance Camera Replacement,2025,2027,Citywide,0,6937500,0,1063500,1063500,4810500,
2024,Technology,27,Other GO CIP - Debt,EAN - DPD Public Safety Radio Replacement,2024,2024,Citywide,30391642,34800000,4408358,0,0,0,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,EFM - General Fleet,2024,2024,Citywide,7483220,7497824,14604,0,0,0,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,EFM - General Fleet & Equipment,2025,2027,Citywide,0,49049500,0,9809900,9809900,29429700,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,EFM General Fleet Replacement,2025,2027,Citywide,0,41000000,0,8200000,8200000,24600000,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,EFM-General Fleet,,,Citywide,0,0,0,0,0,0,
2024,Fleet/Equipment Replacement,27,Other GO CIP - Debt,Electric Vehicle Infrastructure,2024,2024,Citywide,46470,0,-46470,0,0,0,
2024,City and Municipal Court Facilities,27,2017 Bonds,Electrical Panel Replacement at 37 Facilities,2024,2024,Citywide,199801,1010676,810876,0,0,0,
