cip_year,source_page,department,project_name,project_type,funding_source,address_location,comp_date,previous_appropriations,spent,remaining,year_2026,year_2027,project_total,start_year,end_year
2025,18,Aviation,Airfield Pavement Evaluation,Pavement Maintenance/ Construction,Aviation Capital Program,Citywide,Ongoing,1521648,423518,1098130,0,0,1521648,,
2025,18,Aviation,Airport Emergency Operations Center,Terminal,Aviation Capital Program,Citywide,Ongoing,2000000,2000000,0,1300000,0,3300000,2026,2026
2025,18,Aviation,Airport Planning and Advisory Services,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,17905000,5694265,12210735,0,1500000,19405000,2027,2027
2025,18,Aviation,Architectural Engineering Roster,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,3154500,3152387,2113,0,0,3154500,,
2025,18,Aviation,Aviation Parking Garage,Terminal,Aviation Capital Program,Citywide,Ongoing,10755009,-206048,10961056,0,0,10755009,,
2025,18,Aviation,Aviation Project Reserve,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,3524154,-50170,3574324,0,0,3524154,,
2025,18,Aviation,Construction Management/ Project Management,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,24965918,4369585,20596332,0,0,24965918,,
2025,18,Aviation,Crossfield Taxiway Reconfiguration,Pavement Maintenance/ Construction,Aviation Capital Program / Aviation Capital Program - Commercial Paper,Citywide,Ongoing,57283471,35933110,21350361,0,0,57283471,,
2025,19,Aviation,DAL A/E Space Planning Implementation,Terminal,Aviation Capital Program,Citywide,Ongoing,1400000,801267,598733,0,2250000,3650000,2027,2027
2025,19,Aviation,DAL Alternate Entry,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,0,0,0,0,0,0,,
2025,19,Aviation,DAL Love Connection Project,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,18000000,18000000,0,0,0,18000000,,
2025,19,Aviation,DAL Replacement Fire Station,Safety/Security,Aviation Capital Program,Citywide,Ongoing,20008000,13888018,6119982,0,0,20008000,,
2025,19,Aviation,DAL Streetscape Enhancements,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,41320947,8007434,33313513,0,0,41320947,,
2025,19,Aviation,Dallas Executive Airport,Pavement Maintenance/ Construction,Aviation Capital Program - Commercial Paper,Citywide,10/2025,1218633,0,1218633,0,0,1218633,,
2025,19,Aviation,Dallas Vertiport Fuel System,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,1182409,1182409,0,0,0,1182409,,
2025,19,Aviation,DEA Extend Taxiway E,Pavement Maintenance/ Construction,Aviation Capital Program,Citywide,Ongoing,1321500,-180000,1501500,0,0,1321500,,
2025,19,Aviation,DEA Streetscape Enhancements,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,3969851,3504596,465254,0,0,3969851,,
2025,19,Aviation,DEA Taxiway Apron Infill - Design,Pavement Maintenance/ Construction,Aviation Capital Program,Citywide,Ongoing,850000,626050,223950,0,0,850000,,
2025,19,Aviation,DEA West Development Payback,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,7764286,1832193,5932093,0,0,7764286,,
2025,19,Aviation,Drainage Master Plan - Schematic Design,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,6252638,6151000,101638,0,0,6252638,,
2025,19,Aviation,Love Fld Major Maintenance,Terminal,Aviation Capital Program,Citywide,Ongoing,15606585,1100000,14506585,0,0,15606585,,
2025,19,Aviation,Material Testing for Construction Work,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,551361,551361,0,0,0,551361,,
2025,19,Aviation,Moving Walkway and Escalator,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,504805,0,504805,0,0,504805,,
2025,19,Aviation,PC Air Replacement,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,750000,750000,0,0,0,750000,,
2025,20,Aviation,People-mover Connector,Capital Improvement Program,Aviation Capital Program,Citywide,Ongoing,5311092,312648,4998444,0,0,5311092,,
2025,20,Aviation,Reconstruct Taxiway A (Phase 1) TWY D to RWY 31 R,Pavement Maintenance/ Construction,Aviation Capital Program,Citywide,Ongoing,37215539,6701615,30513924,0,0,37215539,,
2025,20,Aviation,Rehabilitate Taxiway C Phase 2,Pavement Maintenance/ Construction,Aviation Capital Program,Citywide,Ongoing,444000,190744,253256,5566955,2000000,8010955,2026,2027
2025,20,Aviation,Grand Total,,,,,0,0,0,0,0,0,,
2025,26,City Facilities,2010 CO,Fleet/ Equipment Replacement,Other GO CIP - Debt,Citywide,Ongoing,77462,77462,0,0,0,77462,,
2025,26,City Facilities,2012 Public Art Admin - Streets,Public Art,2012 Bonds,Citywide,09/2026,34642,34642,0,0,0,34642,,
2025,26,City Facilities,5000 Dolphin Rd - Large Tower,Fire Protection Facilities,2017 Bonds,2,10/2025,379440,357581,21859,0,0,379440,,
