cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2012,project_total,start_year,end_year
2011,20,AP1035,Airport Terminal Development,Airport," Construction: February 2013 - February 2014 Construct office space under Phase II improvements to the Long Beach Airport Terminal FY 12 New Funding Area. Office space occupants include airline Airport Capital $2,000,000 tenants and Transportation Security Administration Total $2,000,000 staff pending Federal Assistance.",46937905,4577646,11818638,37119266,48937904,2012,2012
2011,21,AP1070,Airfield Pavement Rehabilitation,Airport," Design: May 2011 - October 2011 Repairs and improvement of runways, taxiways,  Construction: February 2012 - August 2012 taxilanes and airfield access roads. Install new pavement section and associated pavement FY 12 New Funding markings, lighting, signage, and drainage system Airport Passenger Facility Charge $1,800,000 improvements. Immediate repairs are necessary Total $1,800,000 as soon as damage to critical pavement is detected to ensure the safety of aircraft, airport users, employees, and the traveling public. Additionally, FAA regulations mandate that runways and taxiways be maintained to meet FAA minimum standards.",76820153,64909805,66937162,11682991,78620153,2012,2012
2011,26,PW8170,Belmont Pier Improvements,"Parks, Recreation & Marine"," Bid: January 2012 Belmont Pier improvements include railings and  Permit: May 2012 curbs. The concrete curb and railing are in need of  Construction: August 2012 repair to ensure safety and well being of the general public. Repair the safety curbing at the FY 12 New Funding edge of the pier and install Teflon rail cap for Measure D Oil Revenue $250,000 fishing. Total $250,000",5826530,4623514,4603235,1473295,6076530,2012,2012
2011,27,PR8230,Beach Restroom Replacement,"Parks, Recreation & Marine"," Bid: March 2012 Replace four beach restrooms including Mother’s  Contract/Permit: July 2012 Beach (South), Granada, Bayshore (South), and  Construction: September and completed in Junipero. Rebuild aging beach restrooms and January 2013 install secure single-stall restrooms at the advice of the Police Department. FY 12 New Funding Measure D Oil Revenue $2,000,000",7261804,1341947,2629726,6632078,9261804,2012,2012
2011,28,PW8260,Bluff Erosion Control,"Parks, Recreation & Marine"," Bid: December 2011 Remediation of eroded bluffs through stabilization,  Contract/Permit: March 2012 addition of retaining walls, and enhanced  Construction: April 2012 and completed in landscaping. Stabilize four failing slope areas August 2012 along the bluff through a soil nailing technology.",8058152,3112783,5627013,5431139,11058152,2012,2012
2011,29,PR8360,Rainbow Harbor,"Parks, Recreation & Marine","- Design: November 2011 A new public restroom will be installed including a - Bid: January 2012 single stall design with four regular stalls and two - Permit: May 2012 ADA accessible stalls, located by Dock 2. The - Construction: August 2012 signs at Rainbow Harbor need appropriate lighting  Rainbow Harbor Signs: for public entrance. Installation of a new, lighted - Design: December 2011 entrance sign at the west entrance will be added. - Bid: January 2012 A complete refurbishment of the existing lighted - Permit: May 2012 entrance sign at the Pine Avenue entrance will - Construction: August 2012 occur. The Dock 10 at Rainbow Harbor, Shoreline  Dock 10: Village needs to be replaced. Replace and extend -Design: Complete the existing dock with a new dock outside of - Bid: November 2011 Parker's Lighthouse restaurant. This dock provides - Contract/Permit: March 2012 guest dockage for the downtown waterfront. The - Construction: September 2012 new dock would add approximately 400 feet of dock length, and the addition of one pumpout unit.",2709270,238073,675962,4833307,5509269,2012,2012
2011,30,PR8380,Leeway Sailing Center,"Parks, Recreation & Marine"," Bid: July 2012 Renovate existing building at Leeway Sailing  Contract/Permit: September 2012 Center and utilize the existing structure to better  Construction: November 2012 and complete in meet the needs of the building's usage, and bring June 2013 the building to current code standards. FY 12 New Funding",0,0,0,3000000,3000000,2012,2012
2011,31,PR8010,Beach Bike Paths,"Parks, Recreation & Marine", Bid: August 2012 A new pedestrian beach walking path and new  Contract/Permit: October 2012 lighting enhancements are needed. New lighting  Construction: September and complete in will include security lighting along the beach bike January 2013 path. FY 12 New Funding,0,0,0,5000000,5000000,2012,2012
2011,36,PR3010,Park Bike Path Replacement,"Parks, Recreation & Marine"," Bid: January 2012 Repair, replace, and improve concrete and small  Construction: March 2012 - May 2012 bridges along park bike paths through reconstruction. FY 12 New Funding Measure D Oil Revenue $100,000",825514,488626,726917,198597,925514,2012,2012
2011,40,PW2040,Convention Center Complex Refurbishment,Public Works - Asset Management,"The Convention Center's FY 12 Capital FY 12 New Funding Improvement will allow the temporary Measure D Oil Revenue $2,000,000 transformation of the arena into a ballroom facility, Total $2,000,000 including seating, a fly-up platform superstructure, roll-up carpeting and drapes.",10159383,3036265,5792647,6366736,12159383,2012,2012
2011,41,PW4100,Civic Center Complex Improvements,Public Works - Public Service," Permit: January 2012 The boilers and burners at City Hall and Public  Installation/Completion: July 2012 Safety Building are displaying wear and age. AQMD standards mandates compliance and plan FY 12 New Funding of action to install new units by FY 13. Domestic Civic Center Capital $600,000 boilers should be replaced every 15 years. Total $600,000",7627101,7098780,7088037,1139064,8227101,2012,2012
2011,45,PW7020,Storm Drain Pump Station Repair & Certification,Public Works - Engineering,"Repair and upgrade storm water pumps at various FY 12 New Funding locations in accordance with the 2011 inspection Gas Tax Street Improvement Capital $450,000 and condition request. Total $450,000",1359861,859861,936755,873106,1809861,2012,2012
2011,46,PW7030,Storm Drain Refurbishment - Telemetry,Public Works - Engineering,"Install and upgrade electrical hardware, sensors, FY 12 New Funding software, alarms, and computers to monitor, Gas Tax Street Improvement Capital $100,000 operate, and detect problems at all 23 City owned Total $100,000 storm drain pump stations.",2596587,2346587,2346587,350000,2696587,2012,2012
2011,47,PW7060,Storm Drain System & Water Quality Improvements,Public Works - Engineering,"season Repair storm water catch basins and storm water mainline pipes. Construct storm drain FY 12 New Funding enhancements as identified in the 2005 storm Measure D Oil Revenue $500,000 drain master plan. Conduct water quality Gas Tax Street Improvement Capital $450,000 improvements on the Los Cerritos Channel Storm Total $950,000 Drains.",16025933,14367944,14790771,2185162,16975933,2012,2012
2011,53,PW5080,Bridge Rehabilitation & Seismic Retrofit,Public Works - Engineering,"FY 12 In conjunction with the County of Los Angeles and CALTRANS, inspect, repair, upgrade, and retrofit FY 12 New Funding City of Long Beach owned bridges. Gas Tax Street Improvement Capital $1,000,000 Total $1,000,000",6107456,4068986,5119273,1988185,7107458,2012,2012
2011,54,PW5150,Citywide Residential Street Repair,Public Works - Engineering," Construction: Completed by September 2012 Repair residential streets and alleys through pavement sealing, asphalt overlays, and full FY 12 New Funding reconstruction. Repair work to also include General Capital Projects – General Fund $308,032 replacement of damaged curbs, gutters, drive General Capital Projects – Refuse Fund $400,000 approaches, installation of access ramps and Measure R $3,400,000 replacement signage. Total $4,108,032",52243542,44445407,48110721,8240853,56351574,2012,2012
2011,55,PW5250,Citywide Infrastructure Improvements (Sidewalks),Public Works - Engineering,February 2012 Construct sidewalk improvements associated with  Construction: February 2012 - September 2012 the backlog of neighborhood infrastructure needs.  Complete all projects in FY2012,43541812,38524521,40858665,5683148,46541813,2012,2012
2011,56,PW5450,ADA Response Program,Public Works - Engineering,"September 2012 Construct access ramps and sidewalks on public right-of-way based on verified requests. Remove FY 12 New Funding or relocate City owned obstructions in public right- Gas Tax Street Improvement Capital $500,000 of-way. Total $500,000",2657080,2523784,2582255,574825,3157080,2012,2012
2011,60,PW5341,Pedestrian Safety,Public Works - Traffic Engineering," Construction: Completed by September 2012 Construct pedestrian related safety improvements such as count down pedestrian indications at FY 12 New Funding signalized intersections flashing beacons at Gas Tax Street Improvement Capital $575,000 crosswalks, lighting at crosswalks, and crosswalk Total $575,000 signals.",526212,426212,426212,675000,1101212,2012,2012
2011,63,PWT170,Traffic Mitigation Program,Public Works – Transportation Programs," Construction: Initiated by September 2012 Construct improvements to mitigate traffic impacts  Various corridor studies initiated by October due to development and increase in traffic 2012 volumes. Projects include corridor studies, modal improvements, and lane addition/modifications. FY 12 New Funding Traffic Mitigation Program $400,000",7749200,4503073,5411685,2737514,8149199,2012,2012
