cip_year,source_page,department,project_name,project_id,previous_appropriations,project_total,project_description,department_contact,year_2017,validation_label
2016,14,Public Works - Engineering,Bridge Rehabilitation & Seismic Retrofit,PW5080,2020257,2420257,"In conjunction with the County of Los Angeles and CALTRANS, inspect, repair, upgrade, and retrofit",Alvin Papa (562) 570-6386,400000,
2016,25,Public Works - Engineering,Belmont Pool and Pier Improvements,PW8170,57356447,59056447,Repair and rebuild aging Belmont Pier and pool facilities.,Eric Lopez (562) 570-5690,1700000,
2016,26,Public Works - Engineering,Rainbow Lagoon,PW8330,840632,1040633,Rainbow Lagoon area Improvements,Eric Lopez (562) 570-5690,200000,
2016,27,Public Works - Engineering,Rainbow Harbor,PW8360,2838264,3138264,Rainbow Harbor area improvements.,Eric Lopez (562) 570-5690,300000,
2016,28,Public Works - Engineering,Alamitos Bay Area Improvements,PW8380,4177827,4777827,Alamitos Bay Area Improvements,Eric Lopez (562) 570-5690,600000,
2016,29,Public Works - Engineering,Tidelands Critical Facilities,PW8400,3312269,4177269,Funding for project contingencies to address,Eric Lopez (562) 570-5690,865000,
2016,33,"Parks, Recreation & Marine",Park Bike Path Replacement,PW3010,104100,204100,On-going repair and/or replacement of existing,Meredith Reynolds (562) 570-3165,100000,
2016,34,Public Works - Engineering,Park Facility Reroofing,PW3020,127642,225642,Replace or repair roofs at park facilties to extend the useful life of facilities and protect building,Eric Lopez (562) 570-5690,98000,
2016,35,Public Works – Budget Services,Rancho Improvements,PW3050,1594,501594,Perform improvements in a manner that is,Malcom Oscarson (562) 570-6325,500000,
2016,36,Public Works - Engineering,Rancho Los Cerritos,PW3060,15688,515688,Repair and maintenance upgrades to extend the useful life of Rancho Los Cerritos.,Eric Lopez (562) 570-5690,500000,
2016,37,"Parks, Recreation & Marine",Park Acquisition & Development,PW3070,10781359,11281359,Acquisition of park land and development of parks,Meredith Reynolds (562) 570-3165,500000,
2016,38,"Parks, Recreation & Marine",Tree Trimming - Parks,PW3130,63938,413938,Investment into the City’s Urban Forest.,Meredith Reynolds (562) 570-3165,350000,
2016,39,"Parks, Recreation & Marine",Bixby Park Rehabilitation,PW3150,172310,372310,Repair and construct park facilties to address community needs and preograms.,Eric Lopez (562) 570-5690,200000,
2016,40,"Parks, Recreation & Marine",Play Equipment Replacement,PW3190,179491,2979491,Replace playground equipment at park sites Citywide.,Eric Lopez (562) 570-5690,2800000,
2016,41,"Parks, Recreation & Marine",Irrigation System Replacement,PW3220,2797877,3627877,Upgrade and replacement of park irrigation systems to conserve water and properly maintain,Eric Lopez (562) 570-5690,830000,
2016,42,"Parks, Recreation & Marine",Recreation Building Rehabilitation,PW3240,544461,1194461,Rehabilitate existing buildings to enhance the functional use and maximise operating,Eric Lopez (562) 570-5690,650000,
2016,43,"Parks, Recreation & Marine",Restroom Rehabilitation,PW3250,115158,285158,Upgrade restrooms to address maintenance and operational improvemetns.,Eric Lopez (562) 570-5690,170000,
2016,47,Public Works - Engineering,Animal Control Shelter,PW4070,0,150000,Upgrade animal control shelter cat housing systems throughout the cat cottage and build out,Eric Lopez (562) 570-5690,150000,
2016,48,Public Works - Public Service,Civic Center Complex Improvements,PW4100,3517903,4017903,The Civic Center Complex facility requires,Danny De La Torre (562) 570-2756,500000,
2016,49,Public Works - Engineering,Citywide Reroofing,PW4140,18694,168694,Repair of Fire Station Roofs Citywide to minimize,Eric Lopez (562) 570-5690,150000,
2016,50,Public Works - Engineering,Cooperative Infrastructure Improvements,PW4160,3299178,3549178,"Due to the significant infrastructure needs, the City",Sean Crumby (562) 570-6534,250000,
2016,51,Public Works - Engineering,General City Building Refurbishment,PW4240,651332,2647332,Refurbish City Buildings to minimize structural deficiencies and extend the facility useful life.,Eric Lopez (562) 570-5690,1996000,
2016,52,Public Works - Fleet Services,Regional Fuel Storage,PW4320,640908,1501433,"Operates, maintain and ensures compliance with",Dale Hutchinson (562) 570-5405,860525,
2016,53,Fire Department - Facilities,Fire Department Facilities Modernization,PW4370,2265867,2390867,Modernize fire department facilities at Fire,Eric Lopez (562) 570-5690,125000,
2016,54,Public Works - Engineering,Long Beach Plaza Parking Garage,PW4420,149978,1349978,Refurbish and upgrade City Place parking garages to minimize structural deficiencies and extend the,Eric Lopez (562) 570-5690,1200000,
2016,55,Economic & Property Development,Queen Mary Projects,PW6200,1807667,4446667,The Queen Mary requires historic preservation and capital improvements to properly maintain the,Johnny Vallejo (562) 570-6792,2639000,
2016,59,Public Works – Engineering,Storm Drain Pump Station Repair & Certification,PW7020,761062,1048162,Repair and upgrade storm water pumps at various locations in accordance with AQMD regulations.,George Ker (562) 570-6525,287100,
2016,60,Public Works – Public Service Bureau,Storm Drain Refurbishment - Telemetry,PW7030,175316,275316,"Install and upgrade electrical hardware, sensors, software, alarms, and computers to monitor,",Art Cox (562) 570-2780,100000,
2016,61,Public Works - Engineering,Storm Drain System & Water Quality Improvements,PW7060,5618940,9868940,Repair storm water catch basins and storm water mainline pipes. Construct storm drain,Anthony Arevalo (562) 570-6023,4250000,
2016,65,Public Works - Engineering,Proposition A Transit Related Improvements,PW4230,1375772,1825772,Primarily bus stop improvements at various locations and recreational transit.,Eric Widstrand (562) 570-6537,450000,
2016,66,Public Works - Engineering,Street Lighting Conversion-Lighting Control Program,PW5050,5703802,5853802,"Expansion of the City’s LED pilot program, installing smart technology on the new LED street",Eric Lopez (562) 570-5690,150000,
2016,70,Public Works - Engineering,Citywide Residential Street Repair,PW5152,2877557,7777557,"Repair residential street and alleys through  Construction: February 2017 - September 2017 pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include",Alvin Papa (562) 570-6386,4900000,
2016,71,Public Works - Engineering,Alleys,PW5244,91694,391694,Identify and pave the worst alleys within the City.,Alvin Papa (562) 570-6386,300000,
