cip_year,source_page,project_id,project_name,department,project_description,spent,remaining,previous_appropriations,year_2021,year_2022,year_2023,project_total,start_year,end_year
2020,27,3701010000,AIRPORT LANDSIDE IMPROVEMENTS,,The Airport’s landside improvements consist of facilities and areas that support commercial passenger activity at the Airport. The post‐security areas such as the concourse facility and the pre‐security areas such as the historic terminal building and adjacent roadways are heavily used on a daily basis. This high usage leads to unforeseen repairs to the existing infrastructure and equipment. The upkeep of these facilities and infrastructure is critical to support air travel operations and maintain an award‐winning travel experience.,0,0,361250,500000,500000,500000,1861250,2021,2023
2020,28,3701020000,AIRPORT AIRFIELD IMPROVEMENTS,,"To comply with Part 139 Certification requirements, the Airport is required to rehabilitate airfield pavement and make repairs and improvements on an as‐needed basis. Repairs and improvements include emergency repairs, unforeseen maintenance on utilities, pavement improvements, crack sealing, slurry sealing, signage and lighting replacement, and pavement marking modifications.",0,0,15489227,500000,500000,500000,16989227,2021,2023
2020,33,3002020000,BEACH FACILITY IMPROVEMENTS,,Funding for projects and project contingencies to address unforeseen expenses for existing projects. Design and construct safety and as‐needed repairs at locations to be determined.,0,0,61290876,0,0,500000,61790876,2023,2023
2020,37,3003000000,CIP ADMINISTRATION,,Direct administration associated with managing local return programs or projects.,0,0,6716971,1571000,1571000,1571000,11429971,2021,2023
2020,38,3003010000,ADA RAPID RESPONSE,,Construct access ramps and sidewalks on public right‐of‐ way based on verified request.,0,0,827539,500000,500000,500000,2327539,2021,2023
2020,39,3003020000,ALLEY IMPROVEMENTS,,"Repair residential alleys through pavement sealing, asphalt overlays and full reconstruction.",0,0,309552,2325728,400000,0,3035280,2021,2022
2020,40,3003030000,ARTERIAL CORRIDOR ENHANCEMENTS,,"Design and construct projects that focus on multiple modes of transportation. Improvements along major roadways include transportation facilities that will improve the level of safety for all who traverse the corridors. Vehicles, pedestrians, bicyclists, and transit users will experience an improved level of comfort that will proactively encourage multi‐modal use. •Anaheim St.: LA River to PCH •Bellflower Blvd./Spring St. Improvements •Atlantic Ave. Improvements: Market St. to South St. •Market St. Ped Improvements & Streetscape Enhancement •Artesia Great Boulevard •Repair and maintenance to prolong the life of the improvements and reduce future infrastructure expense.",0,0,15196629,13303100,0,0,28499729,2021,2021
2020,41,3003040000,ARTERIAL STREET REHABILITATION,,"Reconstruction and resurfacing of city streets to extend useful life, provide incidental curb, gutter and sidewalk improvements, construct curb ramps, bus pads and replace pavement markings. Work to be initiated in FY 21: •S tudebaker Road: Keynote Street to LCD •D el Amo Blvd.: Atlantic Avenue to Orange Avenue •Willow Street: Golden Avenue to Magnolia Avenue •Willow Street: Pacific Avenue to Long Beach Blvd. • Willow Street: San Vincent Avenue Studebaker Road •3 rd Street: Alamitos Avenue to Junipero Avenue • Atherton Street: Palo Verde Avenue to Knoxville Avenue • O uter Traffic Circle: Hathaway Avenue to Lakewood Boulevard •4th Street: Elm Avenue to MLK Boulevard",0,0,39506356,17202912,23594303,23268179,103571750,2021,2023
2020,42,3003060000,BIKEWAY AND PEDESTRIAN IMPROVEMENTS,,"Design, construct, implement projects and programs to enhance the safety and viability of pedestrian and bicycle routes. • Long Beach Pedestrian Streetscape • Market Street Pedestrian Streetscape • Livability Initiatives • Grant Matching Funds",0,0,13162378,2509900,564143,571228,16807649,2021,2023
2020,43,3003070000,BRIDGE IMPROVEMENTS,,"In conjunction with the County of Los Angeles and Caltrans, inspect, repair, upgrade, and retrofit City of Long Beach‐owned bridges. Perform bridge deck repairs listed in the 2016/2017 County of Los Angeles condition surveys.",0,0,8563072,1000000,500000,500000,10563072,2021,2023
2020,44,3003080000,BUS STOP IMPROVEMENTS,,Provides recreational transit services and improvements to bus stops at various locations throughout the City.,0,0,7286640,210000,0,0,7496640,2021,2021
2020,45,3003100000,ADA CURB RAMP IMPROVEMENTS,,Construct curb ramp improvements for compliance with ADA specifications.,0,0,4445224,9500000,3800000,3200000,20945224,2021,2023
2020,46,3003120000,LIGHT RAIL TRANSIT IMPROVEMENTS,,Replace/upgrade aging traffic signal and train control computers to provide traffic signal priority and synchronization for the A (Blue) Line light rail transit throughout Long Beach and provide maintenance to prolong the life of the improvements and reduce future infrastructure expense.,0,0,2196808,256000,0,0,2452808,2021,2021
2020,47,3003130000,MEDIAN IMPROVEMENTS,,Improvements may include re‐landscaping and turf conversion to reduce water requirements and installation of solar powered irrigation controllers. • Traffic Circle Improvements,0,0,1713902,0,500000,0,2213902,2022,2022
2020,48,3003170000,RESIDENTIAL STREET IMPROVEMENTS,,"Repair residential streets and alleys through pavement sealing, asphalt overlays, and full reconstruction. Repair work to also include replacement of damaged curbs, gutters, drive approaches, installation of access ramps and replacement signage.",0,0,10601864,10899000,14703326,15261173,51465363,2021,2023
2020,49,3003190000,CITYWIDE SINKHOLES,,Apply permanent repair or temporary patching of sinkholes and subsidence in the public right‐of‐way.,0,0,816807,250000,0,0,1066807,2021,2021
2020,50,3003210000,CITYWIDE STRIPING & SIGNAGE PROGRAM,,"Install and replace street name signs and traffic control signs at various locations, as‐needed, throughout the City.",0,0,2394106,250000,0,0,2644106,2021,2021
2020,51,3003220000,TRAFFIC SIGNAL IMPROVEMENTS,,"Construct pedestrian‐related safety improvements and high priority traffic signal safety improvement projects to address accident‐prone intersections and safety concerns. Implement countdown pedestrian indications intersections, flashing beacons at crosswalks, lighting at crosswalks, and crosswalk signals. • Los Coyotes Diagonal Signal Synchronization • Enhanced Pedestrian Crossings",0,0,9127388,550000,530500,530500,10738388,2021,2023
2020,55,3004010000,PARK AMENITY IMPROVEMENTS,,"Improvements and upgrades of park amenities. Improvements include: activation of unused park space, increase ADA accessibility, playground structures and fitness equipment.",0,0,8699602,0,1500000,0,10199602,2022,2022
2020,59,3005010000,FACILITY IMPROVEMENTS,,"Improvements to City buildings to minimize structural deficiencies, extend the useful life of facilities, and improve energy efficiency. • Neighborhood Library Branches • Health Department Facilities • Fire Stations • Park Facilities • Civic Center • Fire Station 9",0,0,31307168,5455610,9000000,16200000,61962778,2021,2023
2020,63,3006020000,STORM DRAIN SYSTEM IMPROVEMENTS,,"Construct water quality and drainage improvements Citywide. Installation of connector pipe screens (CPS) in existing priority catch basins to meet trash requirements mandated by the State Regional Water Quality Control Board (SRWQCB) and required monitoring, modeling, and implantation actions associated with Total Maximum Daily Loads (TMDLs) as mandated by the State and Federal agencies.",0,0,17052470,3000000,3000000,3000000,26052470,2021,2023
