cip_year,source_page,department,project_name,project_id,previous_appropriations,project_total,project_description,project_timeline,department_contact,year_2024,year_2025,year_2026
2023,33,Airport,AIRPORT LANDSIDE IMPROVEMENTS,3701010000,2269517,3269517,The Airport’s landside improvements consists of facilities and areas that support commercial passenger activity at the Airport. The post‐security areas such as the concourse facility and the pre‐security areas such as the historic terminal building and adjacent roadways are heavily used on a daily basis. This high usage leads to unforeseen repairs to the existing infrastructure and equipment. The upkeep of these facilities and infrastructure are critical to support air travel operations and maintaining an award‐winning travel experience.,Design and Construction on a continuous basis.,Airport ‐ Ron Reeves ‐ (562) 570‐1250,1000000,0,0
2023,34,Airport,AIRPORT AIRFIELD IMPROVEMENTS,3701020000,6853017,7853017,"To comply with Part 139 Certification requirements, the Airport is required to rehabilitate airfield pavement and make repairs and improvements on an as‐needed basis. Repairs and improvements include emergency repairs, unforeseen maintenance on utilities, pavement improvements, crack sealing, slurry sealing, signage and lighting replacement and pavement marking modifications.",Design and Construction on a continuous basis.,Airport ‐ Ron Reeves ‐ (562) 570‐1250,1000000,0,0
2023,39,Beaches and Marinas,BEACH AMENITY IMPROVEMENTS,3002010000,1407254,1607254,"New amenities and/or upgrades to existing amenities, which Includes improvements to facilities and infrastructure. • Marina Vista Park Pickleball Design • Downtown Dog Beach Play Area Permitting",Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,200000,0,0
2023,40,Beaches and Marinas,BEACH FACILITY IMPROVEMENTS,3002020000,52186568,57186568,Funding for projects and project contingencies to address unforeseen expenses for existing projects. Design and construct safety and as‐needed repairs at beach and marina facilities. • Lifeguard Tower Replacements • Temporary Belmont Pool Repairs • Critical Facilities Reserve • Belmont Beach Aquatic Center,Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,5000000,0,0
2023,41,Beaches and Marinas,BEACH PARKING LOTS REHABILITATION,3002030000,1796432,2296432,"Improvements and maintenance to existing beach parking lots, as well as, crack and slurry seal to ensure longevity since initial capital renewal. • Marina Green Parking Lot Improvements",Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,500000,0,0
2023,42,Beaches and Marinas,BEACH STAIRWAY REPLACEMENT,3002040000,0,600000,Improvements and repairs to the City’s various tidelands and beach access staircases to improve coastal access. • Rehabilitate Beach Bluff Staircases,Continuous on an as‐needed basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,600000,0,0
2023,43,Beaches and Marinas,PIER AND DOCK IMPROVEMENTS,3002100000,1298625,2298625,"Improvements to the City’s various overwater marine structures to improve coastal public access, safety, and increase recreational opportunities. • Belmont Pier Design Detail and Permitting",Continuous,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,1000000,0,0
2023,44,Beaches and Marinas,SEAWALL IMPROVEMENTS,3002110000,656453,1156453,"Repairs to the permanent seawalls located at Naples Island. Improvements include the following: new wall system, guard rails, relocation of private docks and pile guides, landscape, sidewalks, public benches, drainage system, access platform, pavers, and new street lighting. • Naples Seawalls Phase 3 Planning and Design",Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,500000,0,0
2023,45,Beaches and Marinas,LAGOON AND WETLANDS IMPROVEMENTS,3002120000,48800702,49300702,Construct water quality and drainage improvements in the wetlands and Colorado Lagoon areas to meet water quality requirements. • Alamitos Bay Water Quality Project,Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,500000,0,0
2023,46,Beaches and Marinas,DREDGING AND NOURISHMENT,3002150000,520565,1120565,"Mechanical or hydraulic dredging or nourishment for the purposes of restoring navigational depths, protecting physical structures, and/or for the purposes of removing contamination and improving water quality. • Peninsula Beach Entrance Channel Dredging and Nourishment Permitting & Design",Continuous on an as ‐needed basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,600000,0,0
2023,47,Beaches and Marinas,TIDELANDS ROADWAY IMPROVEMENTS,3002160000,0,1100000,"Improvements to existing public rights‐of‐ways that may include maintenance, reconstruction, or crack and slurry seal of roadways and streets, and repairs of medians, curbs, and gutters in the tidelands area.",Design and construction on a continuous basis.,Public Works ‐ Project Management ‐ Charlene Angsuco ‐ (562) 570‐5733,1100000,0,0
2023,52,Mobility and Safety,CIP ADMINISTRATION,3003000000,6876755,13782156,Continuing administration of ongoing transit and/or paratransit programs or projects. As well as direct administration associated with managing local return programs or projects.,Ongoing,Public Works ‐ Business Operations ‐ Joshua Hickman ‐ (562) 570‐5938,6905401,0,0
2023,53,Mobility and Safety,ADA RAPID RESPONSE,3003010000,779714,2429714,Construct access ramps and sidewalks on public right‐of‐ way based on verified request.,Design and construction on a continuous basis.,Public Works ‐ Engineering ‐ Keith Hoey ‐ (562) 570‐5786,550000,550000,550000
2023,54,Mobility and Safety,ALLEY IMPROVEMENTS,3003020000,2851527,3051527,"Repair residential alleys through pavement sealing, asphalt overlays and full reconstruction.",Continuous,Public Works ‐ Transportation Project Management ‐ Vahik Vartanians ‐ (562) 570‐5786,200000,0,0
