cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2024,year_2025,year_2026,year_2027,year_2028,year_2029
2024,PHILADELPHIA INTERNATIONAL AIRPORT,35,AVIATION,Airfield Area,AVN.2.1,,,,"This program includes the areas of the Airport reserved for 92,650 XN 33,385XN —15,280XN_15,817XN_ 15,910 XN 16,002 aircraft operations and aircraft-related activities, and other 1,600 SB 577SB 264 SB 273 SB 275 SB 276 appurtenances on the Airport related to the use of the Airport. 56,000 FB 9,236 FB 9560FB 9616FB 9672FB",,,,,,,,,
2024,PHILADELPHIA INTERNATIONAL AIRPORT,35,AVIATION,Airfield Area-FY23,AVN.2A,,2029,2029,"See description under line item 2 15,000 XT 10,000 FT",,,28000.0,,,,,,28000.0
2024,PHILADELPHIA INTERNATIONAL AIRPORT,36,AVIATION,Terminal Area,AVN.3.1,,2024,2029,"This program includes the Airport passenger terminal buildings, 1,000 including the areas available for baggage handling systems, 92,215 and the sidewalk and curb adjacent to the landside of the 48,975 terminal buildings: 3,000",,,237390.0,145190.0,18019.0,15962.0,8513.0,24798.0,24908.0
2024,PHILADELPHIA INTERNATIONAL AIRPORT,36,AVIATION,Terminal Area-FY23,AVN.3A,,2024,2024,"See description under line item 3. 15,000",,,15000.0,15000.0,,,,,
2024,PHILADELPHIA INTERNATIONAL AIRPORT,36,AVIATION,Outside Terminal Area (OTA),AVN.4.14,,2024,2029,"This includes the Airport arrival and departure 1,000 program roadways, and areas on which a hotel, parking facilities, and car 76,550 rental entities operate. 2,000",,,138541.0,79550.0,967.0,13787.0,14350.0,14709.0,15178.0
2024,PHILADELPHIA INTERNATIONAL AIRPORT,37,AVIATION,Outside Terminal Area (OTA)-FY23,AVN.4A,,2024,2024,"See description under line item 4. 20,000",,,20000.0,20000.0,,,,,
2024,PHILADELPHIA INTERNATIONAL AIRPORT,37,AVIATION,Other Airport Services,AVN.5.1,,2024,2029,"This program includes expenses and airport revenues which 28,220 are not directly accounted for in the Airfield Area, Terminal Area, 2,500 or Outside Terminal Area. Also included here are PNE projects. 680",,,118872.0,31400.0,17400.0,16951.0,17140.0,17881.0,18100.0
2024,COMMERCIAL DEVELOPMENT,42,COMMERCE,Neighborhood Commercial Centers-Site Improvements,COM.6.4,,2024,2029,"Upgrade curbs, sidewalks, lighting, landscaping, and parking 1,000 in commercial corridors to complement public and private investment.",,,11000.0,1000.0,,2500.0,2500.0,2500.0,2500.0
2024,COMMERCIAL DEVELOPMENT,42,COMMERCE,Market East Public Infrastructure,COM.6.2,,2024,2024,"Fund improvements to infrastructure in Market Street East area 1,500 of Center City to support additional commercial, residential, and retail development.",,,1500.0,1500.0,,,,,
2024,COMMERCIAL DEVELOPMENT,42,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY23,COM.6A,,2024,2024,"See description under line item 6. 5,000",,,5000.0,5000.0,,,,,
