cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,validation_label,notes
2025,PHILADELPHIA INTERNATIONAL AIRPORT,33,AVIATION,Airfield Area,AVN.2.1,,2025.0,2030.0,"This program includes the areas of the Airport reserved for 84,750 aircraft operations and aircraft-related activities, and other 2,600 appurtenances on the Airport related to the use of the Airport.",,,1081660.0,277790.0,10500.0,69150.0,69300.0,69450.0,585470.0,corrected,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,33,AVIATION,Airfield Area-FY24,AVN.2A,,2025.0,2030.0,See description under line item 2.,,,50000.0,25000.0,,,,,25000.0,corrected,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,34,AVIATION,Terminal Area,AVN.3.1,,2025.0,2030.0,"This includes the Airport terminal buildings, 11,000 program passenger including the areas available for baggage handling systems, 210,520 and the sidewalk and curb adjacent to the landside of the 37,000 terminal buildings 2,000",,,579960.0,260520.0,1000.0,73310.0,83340.0,83340.0,78450.0,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,34,AVIATION,Terminal Area-FY24,AVN.3A,,2025.0,2025.0,See description under line item 3.,,,30000.0,30000.0,,,,,,corrected,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,34,AVIATION,Outside Terminal Area (OTA),AVN.4.1,,2025.0,2030.0,"This includes the Airport arrival and departure 1,000 program roadways, and areas on which a hotel, parking facilities, and car 62,950 rental entities operate.",,,133054.0,66950.0,27850.0,2000.0,2000.0,2000.0,32254.0,corrected,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,35,AVIATION,Outside Terminal Area (OTA)-FY24,AVN.4A,,2030.0,2030.0,"See description under line item 4 30,000 XT",,,30000.0,,,,,,30000.0,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,35,AVIATION,Other Airport Services,AVN.5.1,,,,"This program includes expenses and airport revenues which 33,350 XN 13,800XN —-23,250XN 24,180 not directly accounted for the Airfield Area, Terminal Area, 8,500 FB —3,000FB 3,000FB © 3,000FB_ = are in or Outside Terminal Area. Also included here are PNE projects. 230088 1,000SB",,,,,,,,,,,
2025,COMMERCIAL DEVELOPMENT.,40,COMMERCE,Neighborhood Commercial Centers-Site Improvements,COM.6.1,,2025.0,2030.0,"Upgrade curbs, sidewalks, lighting, landscaping, and parking 1,500'CN in commercial corridors to complement public and private investment.",,,16500.0,1500.0,2500.0,2500.0,3000.0,3500.0,3500.0,corrected,
2025,COMMERCIAL DEVELOPMENT.,40,COMMERCE,Market East Public Infrastructure,COM.6.2,,2025.0,2030.0,"Fund improvements to infrastructure in Market Street East area of Center City additional commercial, residential, and to support retail development.",,,33000.0,4000.0,2500.0,3000.0,3500.0,3500.0,16500.0,,
2025,COMMERCIAL DEVELOPMENT.,40,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY24,COM.6A,,2025.0,2030.0,See description under line item 6.,,,2000.0,1000.0,,,,,1000.0,corrected,
2025,COMMERCIAL DEVELOPMENT.,40,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY23,COM.6B,,2025.0,2030.0,"See description under line item 6 5,000",,,10000.0,5000.0,,,,,5000.0,,
