cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031
2025,,28,ART MUSEUM COMPLEX - CAPITAL,Philadelphia Museum of Art - Building Rehabilitation-FY24,ARTMU.1A,,2026,2026,See description under line item 1.,See description under line item 1.,,2000.0,2000.0,,,,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,31,AVIATION,Airfield Area,AVIAT.1,,2026,2031,"This program includes the areas of the Airport reserved for aircraft operations and aircraft-related activities, and other appurtenances on the Airport related","This program includes the areas of the Airport reserved for aircraft operations and aircraft-related activities, and other appurtenances on the Airport related",,597426.0,172600.0,133133.0,83791.0,69149.0,69302.0,69451.0
2025,PHILADELPHIA INTERNATIONAL AIRPORT,31,AVIATION,Airfield Area-FY25,AVIAT.2A,,2026,2026,See description under line item 2.,See description under line item 2.,,123543.0,123543.0,,,,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,31,AVIATION,Airfield Area-FY24,AVIAT.2B,,2026,2026,See description under line item 2.,See description under line item 2.,,11000.0,11000.0,,,,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,32,AVIATION,Terminal Area-FY25,AVIAT.3A,,2026,2026,See description under line item 3.,See description under line item 3.,,261917.0,261917.0,,,,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,32,AVIATION,Terminal Area-FY24,AVIAT.3B,,2026,2026,See description under line item 3.,See description under line item 3.,,44174.0,44174.0,,,,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,33,AVIATION,Outside Terminal Area (OTA)-FY25,AVIAT.4A,,2026,2026,See description under line item 4.,See description under line item 4.,,79950.0,79950.0,,,,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,33,AVIATION,Outside Terminal Area (OTA)-FY24,AVIAT.4B,,2026,2026,See description under line item 4.,See description under line item 4.,,17007.0,17007.0,,,,,
2025,PHILADELPHIA INTERNATIONAL AIRPORT,34,AVIATION,Other Airport Services-FY25,AVIAT.5A,,2026,2026,See description under line item 5.,See description under line item 5.,,39281.0,39281.0,,,,,
2025,COMMERCIAL DEVELOPMENT,39,COMMERCE,Neighborhood Commercial Centers - Site Improvements-FY25,COMME.6A,,2026,2026,See description under line item 6.,See description under line item 6.,,1500.0,1500.0,,,,,
