cip_year,project_type,source_page,department,project_name,project_id,address_location,start_year,end_year,project_description,project_justification,previous_appropriations,project_total,plan_year,invest
2019,ART MUSEUM COMPLEX - CAPITAL,18,ART MUSEUM,Interior and Exterior Improvements,ART.1.1,,2021,2023,Make infrastructure improvements required for life safety basic operations.,Make infrastructure improvements required for life safety basic operations.,,18000.0,2021,6000.0
2019,ART MUSEUM COMPLEX - CAPITAL,18,ART MUSEUM,Interior and Exterior Improvements,ART.1.1,,2021,2023,Make infrastructure improvements required for life safety basic operations.,Make infrastructure improvements required for life safety basic operations.,,18000.0,2022,6000.0
2019,ART MUSEUM COMPLEX - CAPITAL,18,ART MUSEUM,Interior and Exterior Improvements,ART.1.1,,2021,2023,Make infrastructure improvements required for life safety basic operations.,Make infrastructure improvements required for life safety basic operations.,,18000.0,2023,6000.0
2019,ART MUSEUM COMPLEX - CAPITAL,18,ART MUSEUM,Philadelphia Museum of Art - Building Rehabilitation-FY19,ART.1A,,2020,2020,See description under line item 1.,See description under line item 1.,,10000.0,2020,10000.0
2019,INDUSTRIAL DEVELOPMENT,29,COMMERCE,"Improvements, Engineering and Administration",COM.10.1,,2020,2020,"Conduct engineering, architectural, and environmental related to land acquisition and development.","Conduct engineering, architectural, and environmental related to land acquisition and development.",,5000.0,2020,5000.0
2019,INDUSTRIAL DEVELOPMENT,30,COMMERCE,Acquisition and Improvements,COM.11.1,,2020,2020,Purchase and improve industrial sites throughout Philadelphia.,Purchase and improve industrial sites throughout Philadelphia.,,12000.0,2020,12000.0
2019,INDUSTRIAL DEVELOPMENT,30,COMMERCE,PIDC Landbank Acquisition & Improvements-FY19,COM.11A,,2020,2020,See description under line item 11.,See description under line item 11.,,3000.0,2020,3000.0
2019,INDUSTRIAL DEVELOPMENT,30,COMMERCE,PIDC Landbank Acquisition & Improvements-FY18,COM.11B,,2020,2020,See description under line item 11.,See description under line item 11.,,3000.0,2020,3000.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Penn's Landing Improvements,COM.12.1,,2020,2024,Make improvements to Penn's Landing.,Make improvements to Penn's Landing.,,80000.0,2020,10000.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Penn's Landing Improvements,COM.12.1,,2020,2024,Make improvements to Penn's Landing.,Make improvements to Penn's Landing.,,80000.0,2021,10000.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Penn's Landing Improvements,COM.12.1,,2020,2024,Make improvements to Penn's Landing.,Make improvements to Penn's Landing.,,80000.0,2022,20000.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Penn's Landing Improvements,COM.12.1,,2020,2024,Make improvements to Penn's Landing.,Make improvements to Penn's Landing.,,80000.0,2023,20000.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Penn's Landing Improvements,COM.12.1,,2020,2024,Make improvements to Penn's Landing.,Make improvements to Penn's Landing.,,80000.0,2024,20000.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Master Plan Implementation,COM.12.2,,2020,2025,"Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.","Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.",,3000.0,2020,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Master Plan Implementation,COM.12.2,,2020,2025,"Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.","Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.",,3000.0,2021,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Master Plan Implementation,COM.12.2,,2020,2025,"Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.","Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.",,3000.0,2022,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Master Plan Implementation,COM.12.2,,2020,2025,"Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.","Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.",,3000.0,2023,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Master Plan Implementation,COM.12.2,,2020,2025,"Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.","Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.",,3000.0,2024,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Master Plan Implementation,COM.12.2,,2020,2025,"Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.","Implement the Central Delaware Waterfront Master Plan construction, improvement, or acquisition of City assets.",,3000.0,2025,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,General Site Improvements,COM.12.3,,2020,2025,Implement infrastructure and site improvements in support public and private development.,Implement infrastructure and site improvements in support public and private development.,,3000.0,2020,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,General Site Improvements,COM.12.3,,2020,2025,Implement infrastructure and site improvements in support public and private development.,Implement infrastructure and site improvements in support public and private development.,,3000.0,2021,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,General Site Improvements,COM.12.3,,2020,2025,Implement infrastructure and site improvements in support public and private development.,Implement infrastructure and site improvements in support public and private development.,,3000.0,2022,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,General Site Improvements,COM.12.3,,2020,2025,Implement infrastructure and site improvements in support public and private development.,Implement infrastructure and site improvements in support public and private development.,,3000.0,2023,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,General Site Improvements,COM.12.3,,2020,2025,Implement infrastructure and site improvements in support public and private development.,Implement infrastructure and site improvements in support public and private development.,,3000.0,2024,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,General Site Improvements,COM.12.3,,2020,2025,Implement infrastructure and site improvements in support public and private development.,Implement infrastructure and site improvements in support public and private development.,,3000.0,2025,500.0
2019,WATERFRONT IMPROVEMENTS,31,COMMERCE,Central Delaware River Waterfront-FY17,COM.12B,,2020,2020,See description under line item 12.,See description under line item 12.,,16160.0,2020,16160.0
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill Riverfront Improvements,COM.13.1,,2020,2025,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,,14000.0,2020,3000.0
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill Riverfront Improvements,COM.13.1,,2020,2025,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,,14000.0,2021,6000.0
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill Riverfront Improvements,COM.13.1,,2020,2025,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,,14000.0,2022,1500.0
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill Riverfront Improvements,COM.13.1,,2020,2025,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,,14000.0,2023,1500.0
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill Riverfront Improvements,COM.13.1,,2020,2025,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,,14000.0,2024,1500.0
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill Riverfront Improvements,COM.13.1,,2020,2025,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,Complement public and private reinvestment through capital improvements to the Schuylkill River Trail.,,14000.0,2025,500.0
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill River Waterfront-FY19,COM.13A,,2020,2020,See description under line item 13.,See description under line item 13.,,7000.0,2020,7000.0
2019,WATERFRONT IMPROVEMENTS,32,COMMERCE,Schuylkill River Waterfront-FY17,COM.13B,,2020,2020,See description under line item 13.,See description under line item 13.,,16550.0,2020,16550.0
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront,COM.14.1,,2020,2025,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,,3250.0,2020,750.0
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront,COM.14.1,,2020,2025,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,,3250.0,2021,500.0
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront,COM.14.1,,2020,2025,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,,3250.0,2022,500.0
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront,COM.14.1,,2020,2025,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,,3250.0,2023,500.0
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront,COM.14.1,,2020,2025,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,,3250.0,2024,500.0
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront,COM.14.1,,2020,2025,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,Complement public and private reinvestment and help implement the Greenway Master Plan through public improvements along the North Delaware Greenway.,,3250.0,2025,500.0
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront-FY19,COM.14A,,2020,2020,See description under line item 14.,See description under line item 14.,,500.0,2020,500.0
2019,WATERFRONT IMPROVEMENTS,33,COMMERCE,North Delaware River Waterfront-FY17,COM.14B,,2020,2020,See description under line item 14.,See description under line item 14.,,3420.0,2020,3420.0
