cip_year,source_page,department,project_type,project_name,project_id,address_location,previous_appropriations,project_total,project_description,project_justification,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,start_year,end_year
2007,77,City Planning and Community Investment,Centre City Development Corporation,Annual Allocation - Downtown Parking Projects,39-803.0,"Council District: 2, 8; Community Plan: Centre City",0,1500000,"This project provides funding to implement and facilitate projects and programs to maximize the use of existing parking resources. Parking management projects and programs include design and implementation of a ""Wayfinding"" program throughout downtown, implementation of residential parking permits, and payment of debt service. These projects have also been pledged for the payment of 6th and Market and 6th and K parking facilities.","The Redevelopment Plan of the Centre City Redevelopment Area calls for the elimination of blight in Centre City. The Redevelopment Plan was adopted on May 11, 1992, by Ordinance O-17767. The Parking Meter Revenue Allocation Policy (100-18) was adopted on March 4, 1997, and the Comprehensive Downtown Parking Plan was adopted on December 2, 1997.",1500000,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,78,City Planning and Community Investment,Community Services Program,Cortez Hill Family Center,37-013.0,Council District: 2; Community Plan: Centre City,5090976,5090976,This facility provides short-term transitional housing for homeless families.,"The Cortez Hill Family Center project will provide year-round, short-term transitional housing for homeless families.",0,0,0,0,0,0,0,0,0,0,0,,
2007,79,City Planning and Community Investment,Economic Development,25th Street Walkable Community Demonstration Project,39-236.0,"Council District: 8; Community Plan: Southeastern San Diego, Greater Golden Hill",239000,727850,"This project provides for public streetscape improvements on 25th Street from G Street in Golden Hill to Commercial Avenue in Sherman Heights. These improvements will slow down traffic, increase off-street parking, improve pedestrian safety and enhance the walkability of this main thoroughfare.",These public improvements will mitigate the negative effects of vehicular traffic and provide a more walkable streetscape.,0,488850,0,0,0,0,0,0,0,0,0,2009,2009
2007,80,City Planning and Community Investment,Economic Development,Adams Avenue - Streetscape Improvements,39-205.0,"Council District: 3; Community Plan: Greater North Park, Mid-City",2655069,2655069,"This project provides for public improvements such as sidewalk, curb, and gutter replacement along Adams Avenue. The improvements are part of other revitalization activities on Adams Avenue, where four demonstration projects have been completed.",The Adams Avenue Revitalization Project has been a part of the Mid-City Commercial Revitalization Program and was completed in phases. This project will continue the approved design concept on additional commercial blocks in the Normal Heights and Kensington-Talmadge areas.,0,0,0,0,0,0,0,0,0,0,0,,
2007,81,City Planning and Community Investment,Economic Development,Annual Allocation - Removal of Architectural Barriers - CDBG Funded,39-217.0,Council District: Citywide; Community Plan: Citywide,0,1703949,"This annual allocation provides for removal of architectural barriers that prevent access by persons with disabilities to City facilities, programs, and services.","The City is required by the federal Americans with Disabilities Act (ADA) to make its facilities, programs and services accessible to persons with disabilities. Several City facilities are identified annually to be brought into compliance with the ADA.",1703949,0,0,0,0,0,0,0,0,0,0,2008,2008
2007,82,City Planning and Community Investment,Economic Development,Border Infrastructure Study (SB 207),39-235.0,Council District: 8; Community Plan: Otay Mesa,100000,200000,The project provides for a vision and an implementation strategy for infrastructure development in Otay Mesa. This is the first phase in establishing a Border Development Zone (a 30-year designation) as authorized by State legislation (SB 207). The study will identify the needed public infrastructure to enhance economic development along the U.S./Mexico border.,The study will identify the public infrastructure needed to support future industrial development in Otay Mesa. This is the first and necessary step in creating an infrastructure financing plan.,0,100000,0,0,0,0,0,0,0,0,0,2009,2009
2007,83,City Planning and Community Investment,Economic Development,City Heights/University Avenue - Streetscape Improvements,39-210.0,Council District: 3; Community Plan: Mid-City,1077495,1677495,This project provides for public improvements along University Avenue in City Heights.,"Individual projects are important components of the Mid-City Commercial Revitalization Program and the City Heights Redevelopment Plan. The projects improve deteriorated infrastructure, provide visual enhancements and support commercial revitalization.",0,600000,0,0,0,0,0,0,0,0,0,2009,2009
2007,84,City Planning and Community Investment,Economic Development,El Cajon Boulevard Median Improvements,39-234.0,Council District: 7; Community Plan: College Area,2220920,2637920,"This project provides for median improvements on El Cajon Boulevard. Phase I provides for landscape improvements on El Cajon Boulevard between 54th Street and 73rd Street (the City boundary with La Mesa). It will replace substandard curbs and asphalt - surfaced raised medians with new curbs, and color stamped concrete. Phase II will install landscaping and irrigation. Enhancements may include street trees, shrubs, ground covers, automatic irrigation, enriched paving, signage and art work. The project also includes provisions for the installation of community area signs within the medians and a new traffic signal at the intersection of El Cajon Boulevard and Dayton Street.","Streetscape and landscape improvements on El Cajon Boulevard have been part of the commercial revitalization efforts of property owners, the business district and the City for more than ten years. The College Area Business Improvement District has adopted a Master Plan for their area that includes signage, public artwork, street trees, sidewalk replacements, enhanced paving, lighting and landscaping.",0,0,417000,0,0,0,0,0,0,0,0,2010,2010
2007,85,City Planning and Community Investment,Economic Development,Hillcrest Streetscape Improvements - University Avenue and Normal Street,39-213.0,Council District: 3; Community Plan: Uptown,1383966,1383966,"This project provides for streetscape improvements in Hillcrest on University Avenue between Tenth Avenue and Park Boulevard and Normal Street between University Avenue and Washington Street. Improvements include medians, trees, landscape, automatic irrigation systems, enhanced paving, art work, and lighting.","This project is an important component of the Uptown Community Plan. The project will improve deteriorated infrastructure, provide visual enhancements and support commercial revitalization.",0,0,0,0,0,0,0,0,0,0,0,,
2007,86,City Planning and Community Investment,Economic Development,Linda Vista Community Center,39-085.0,Council District: 6; Community Plan: Linda Vista,798628,798628,"This project provides for acquisition and construction of the Linda Vista Community Center, including meeting rooms and office space for City services and community organizations.",This facility will serve as a community center in a low to moderate income community within a redevelopment project area.,0,0,0,0,0,0,0,0,0,0,0,,
