cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018
2012,Airport Assets,94,Airports,Brown Field,2013,2018,"Council District: 8, 9; Community Plan: Otay Mesa",4161031,12518687,"The Brown Field Airport annual allocation provides for the following projects: A. Rehabilitation of Runway 8L/26R project - A design consultant will evaluate the current pavement, drainage, striping and sig- nage conditions and to provide a rehabilitation design to meet current Federal Aviation Administration (FAA) standards. B. Brown Field Airport's Terminal building and parking lots ADA upgrades - A design/build firm will evaluate the current conditions; provide a design, as well as the needed construction to bring both the Air- port terminal building and parking lots to compliance with ADA regulations. C. Rehabilitation of Curran Street and Sikorsky Street - A design/build firm will evaluate the current conditions and provide a design and con- struction to rehabilitate deteriorated pavement sections of Curran Street and Sikorsky Street. D. Rehabilitation of Pogo Road - A design/build firm will evaluate the current conditions and provide a design and construction to rehabilitate deteriorated pavement sections of Pogo Road.","A. Rehabilitation of Runway 8L/26R project - Maintaining the safe use of the runway as required by the FAA and Caltrans, Division of Aeronautics. B. Brown Field Airport's Terminal building and parking lots ADA upgrades - Compliance with ADA regulations. C. Rehabilitation of Curran Street and Sikor- sky Street - The Rehabilitation of Glenn Curtis Road and Gibbs Drive will bring the streets' pavement section to current engineering and construction standards. D. Rehabilitation of Pogo Road - The Rehabilitation of Pogo Road will bring its' pavement section to current engineering and construction standards.",0,1500000,1371531,1371531,1371531,1371531,1371531
2012,Airport Assets,95,Airports,Montgomery Field,2013,2018,Council District: 6; Community Plan: Kearny Mesa,4616655,14199140,"The Montgomery Field Airport annual allocation provides for the following projects: A. Reha- bilitation of Runway 5/23 and Taxiway G project - This rehabilitation construction project brings Runway 5/23 and Taxiway G; pavement, drainage, striping and signage to current design and construction standards and to conformance with current Federal Aviation Administration (FAA) standards. B. Rehabilitation of Glenn Curtis Road and Gibbs Drive - A design/build firm will evaluate the current conditions and provide a design and con- struction to rehabilitate deteriorated pavement sections of Glenn Curtis Road and Gibbs Drive. C. Montgomery Field Airport Access Control Security Equipment - A design/build will design and install Access Control Security Equipment at Montgomery Field Airport.","A. Rehabilitation of Runway 5/23 and Taxiway G project - Maintaining the safe use of the Runway 5/23 and Taxiway G as required by the FAA and Caltrans, Division of Aeronautics. B. Rehabilitation of Glenn Curtis Road and Gibbs Drive - The Rehabilitation of Glenn Curtis Road and Gibbs Drive will bring the streets' pavement section to current engineering and construction standards. C. Montgomery Field Airport Access Control Security Equipment -This project enhances the Montgomery Field Airport security, prevent- ing unauthorized access. Additionally, the FAA has programmed $475,000 in grant funding for this project due to the high priority associated with enhancing the security of the airport.",0,600000,1796497,1796497,1796497,1796497,1796497
2012,Airport Assets,96,Airports,Montgomery Field Rehabilitation,2013,2013,Council District: 6; Community Plan: Kearny Mesa,4931922,5231922,The Montgomery Field Airport (MYF) annual allocation will provide for design and construc- tion to rehabilitate the pavement of Runway 10L/28R. A consultant will assess the current conditions of the runway and will present a design to make the runway comply with Federal Aviation Administration (FAA) guidelines and regulations.,"This is a grant funded restoration project of a 40-year old runway pavement that is required to ensure safety, meet Federal Aviation Administration (FAA) standards, and diminish the possibility of aircraft accidents as well as City liability.",0,300000,0,0,0,0,0
2012,Bldg - Other City Facility / Structures,102,Department of Information Technology,Enterprise Asset Management - SAP,2013,2013,"Council District: 1, 2, 3, 4, 5, 6, 7, 8; Community Plan: Citywide",0,1100000,"This project will consolidate and merge the Enterprise Asset Management (EAM) Systems, Applications and Products (SAP) system into the Industry Solution for Public Sector (ISPS) SAP system and allow for one managed instance and full integration with ISPS processes. ISPS is used for Financials (General Ledger, Accounts Payable, Cost Accounting, Accounts Receivables, Fixed Assets), Materials Management, Funds/Grants Management, Human Capital Management, Procurement, Contracts Accounting and Project Sys- tems.",This project will reduce the size of the EAM technological infrastructure while providing full integration with the ISPS business processes in one SAP system.,0,1100000,0,0,0,0,0
2012,Bldg - Operations Facility / Structures,103,Department of Information Technology,OneSD Capital,,,"Council District: 1, 2, 3, 4, 5, 6, 7, 8; Community Plan: Citywide",38125000,38125000,"The OneSD project provides for the replacement of many legacy software systems currently in use by City departments with the business center of the Office of the Chief Financial Officer (CFO) and Busi- ness and Support Services. The System will replace the following major systems: AMRIS (General Ledger), ALVA (Financial Reporting), APIS (Accounts Payable), ARIS (Accounts Receivable), FMIS (Budgeting and Financial Management), FAMIS (Fixed Asset Management), OPIS (Purchasing), CAPPS (Payroll), and PATS (Applicant Tracking). Additionally, this integrated application will be used by all City departments for day-to- day business operations and human resource needs and is expected to support the City's information technology (IT) needs for the next 15 years.","Recommendations contained in the Kroll Report stated that due to their antiquated state, the City's major software systems require updating. The applications that support the departments under the Office of the Chief Financial Officer (CFO) and Business and Support Services no longer meet the requirements for responsible financial management, efficient human resources management, and IT operational efficiency.",0,0,0,0,0,0,0
2012,Bldg - Other City Facility / Structures,104,Department of Information Technology,Supplier Relationship Management - SAP,,,"Council District: 1, 2, 3, 4, 5, 6, 7, 8; Community Plan: Citywide",900000,900000,This project will implement the Supplier,This project will provide for the simplification and automation of the procure-to-pay process for the City's Purchasing and Contracting division.,0,0,0,0,0,0,0
2012,Landfills - Supporting Fac / Struct,112,Environmental Services,Arizona Street Landfill Closure and Modifications,2013,2017,Council District: 3; Community Plan: Balboa Park,3538543,4208543,This project provides for modifications to the existing landfill gas collection system and cover at the Arizona Landfill to enhance operations and maintain regulatory compliance.,Federal and State waste disposal legislation requires proper environmental safeguards to con- trol landfill gas.,0,65000,65000,400000,70000,70000,0
2012,Bldg - Other City Facility / Structures,113,Environmental Services,Citywide Energy Improvements,2013,2013,Council District: Citywide; Community Plan: Citywide,9890324,11690324,"This project will provide for energy efficiency improvements in City facilities. Projects typically address lighting, air conditioning, chiller, pumping and fan systems, invertors and City owned solar systems. Newer, more efficient technologies greatly reduce energy consumption.","Energy efficiency improvements repay capital costs in one to nine years, depending upon the project. The energy savings continue each year thereafter. Energy audits are performed in a variety of City- owned facilities to identify opportunities for energy savings.",0,1800000,0,0,0,0,0
2012,Bldg - Other City Facility / Structures,114,Environmental Services,Energy Commission Energy Efficiency Facility Imp,,,Council District: Citywide; Community Plan: Citywide,2107243,2107243,This project provides needed energy improvements to various City facilities.,This project will provide energy improvements at various City facilities located throughout the City of San Diego in all Council Districts.,0,0,0,0,0,0,0
2012,Bldg - Other City Facility / Structures,115,Environmental Services,Environmental Services Facilities Improvements,,,Council District: 6; Community Plan: Kearny Mesa,508309,508309,"This project provides for needed facility improvements for the Environmental Services Depart- ment. Facilities include the Ridgehaven building, Miramar Operations Station, and facilities at the Miramar Landfill.",The Ridgehaven Facility is overdue for,0,0,0,0,0,0,0
