cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2018,year_2019,year_2020,year_2021,year_2022
2017,Airport Assets,94,Airports,Brown Field,AAA00002,,,Council District: 8; Community Plan: Kearny Mesa,9685431,9685431,This annual allocation provides for as-needed improvements within the City's,This project maintains an airport which promotes the safe use of the runways,0,0,0,0,0,0
2017,,95,Airports,Montgomery-Gibbs Executive Airport / AAA00001 Airport Assets,AAA00001,,,Council District: 6; Community Plan: Kearny Mesa,10909943,10909943,This annual allocation provides for as-needed improvements within the,This project maintains an airport which promotes the safe use of the runways,0,0,0,0,0,0
2017,Bldg - Operations Facility / Structures,102,Citywide,101 Ash Improvements,S17009,,,Council District: 2; Community Plan: Centre City,4999999,4999999,"This project provides for the architectural, electrical, plumbing and mechanical",These tenant improvements are needed to accommodate the office space,0,0,0,0,0,0
2017,Bldg - Other City Facility / Structures,103,Citywide,CIP Emergency Reserve,ABT00006,,,Council District: Citywide; Community Plan: Citywide,1000000,1000000,This annual allocation provides funding for urgent repairs due to an emergency,This annual allocation provides an immediate source of funding for public community plans and is in conformance with the City's General Plan. works contracts in order to respond quickly to an emergency or natural disaster.,0,0,0,0,0,0
2017,Bldg - Other City Facility / Structures,104,Citywide,Convention Center Phase III Expansion,S12022,,,Council District: 3; Community Plan: Centre City,3359521,517409521,This project provides for the expansion of the existing San Diego Convention,"The existing facility cannot accommodate some of the larger major events, with the Coastal Commission approval in Fiscal Year 2014. The estimated project total and which leads to the loss of events to other venues. The expansion is expected to increase the",514050000,0,0,0,0,0
2017,,105,Citywide,Fleet Services Elect & Fac Improvements / L14002  Bldg - Other City Facility / Structures,L14002,,,Council District: 1 2 4; Community Plan: Clairemont Mesa; University,2081961,2081961,This project will provide improvements at Fleet Services maintenance yards,This project is necessary to properly implement Fleet's Most Efficient the repair of the City's car and truck wash facilities was transferred to this project when the Government Office (MEGO) requirements due to the closing of the heavy Fire repair facility repairs were determined to be capitalizable expenses.The Project,0,0,0,0,0,0
2017,Intangible Assets - Information Tech,106,Citywide,I AM San Diego Project,S14000,2018,2018,Council District: Citywide; Community Plan: Citywide,43678945,47074185,The I AM San Diego Project is a Citywide strategic initiative to develop and implement an,"The City owns and maintains a large and complex network of aging and deteriorating Rescue, Environmental Services, and Park & Recreation). assets with a backlog of deferred maintenance and capital projects. I AM will replace 32 outdated",0,3395240,0,0,0,0
2017,Bldg - Stadium Facilities,107,Citywide,Stadium,ABG00001,,,Council District: 6; Community Plan: Mission Valley,1534053,1534053,"This annual allocation provides for needed improvements at the stadium,","The stadium enriches the quality of life through a variety of hosted events, and ""Qualcomm Stadium,"" but with the expiration of the City’s naming rights agreement with serves as a visitor attraction that strengthens the local economy. As the stadium ages, Qualcomm, the project title has been revised to ""Stadium,"" and the previous ""Qualcomm regular upgrades and renovations are required for various components of the facility. Stadium"" section of the CIP Budget has been consolidated into the ""Citywide"" section.",0,0,0,0,0,0
2017,Landfills,116,Environmental Services,Aerated Static Pile System,S16053,2018,2018,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,499999,4999999,This project provides for the design and construction of infrastructure required,AB-1826 and the City's zero waste plan dictate significant increases in organic,0,4500000,0,0,0,0
2017,,117,Environmental Services,Citywide Energy Improvements / ABT00003  Bldg - Other City Facility / Structures,ABT00003,2018,2018,Council District: Citywide; Community Plan: Citywide,2393436,32667191,This annual allocation will provide for energy efficiency improvements in City,"Energy efficiency improvements repay capital costs in one to nine years,",0,30273755,0,0,0,0
