cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,address_location,previous_appropriations,project_total,project_description,project_justification,unidentified_funding,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027
2021,Airport Assets,82,Airports,Brown Field,AAA00002,,,Council District: 8; Community Plan: Kearny Mesa,2220199,2220200,"This annual allocation provides for as-needed improvements within the City's Brown Field Airport; which can include, but is not limited to, pavement, drainage, striping, and signage for","This project maintains an airport, which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with Federal Americans with Disabilities Act (ADA) regulations.",0,0,0,0,0,0,0
2021,Airport Assets,83,Airports,Montgomery-Gibbs Executive Airport,AAA00001,,,Council District: 6; Community Plan: Kearny Mesa,1996293,1996294,"This annual allocation provides for as-needed improvements within the City's Montgomery-Gibbs Executive Airport, which can include, but is not limited to, pavement, drainage, striping, and signage for","This project maintains an airport which promotes the safe use of the runways as required by the FAA, Caltrans (Division of Aeronautics), and compliance with Federal Americans with Disabilities Act (ADA) regulations.",0,0,0,0,0,0,0
2021,Bldg - Operations Facility / Structures,90,Citywide,101 Ash Improvements,S17009,,,Council District: 3; Community Plan: Centre City,27628946,27628947,"This project provides for the architectural, electrical, plumbing, asbestos mitigation, and mechanical tenant improvements to the 19 floors of 101 Ash Street for multiple City departments, including tenants of the City Operations Building and former tenants of 1010 2nd Ave building. Improvements will increase building’s occupancy and bring the building into compliance with current Americans with Disabilities Act (ADA) standards.","These tenant improvements are needed to increase the occupancy of the building by approximately 356 employees and accommodate the office space requirements for a development permit center, as well as several City departments. These improvements will provide the needed office space for the more than 500 employees who were displaced from the 1010 2nd Ave building along with Development Services staff from the City Operations Building, which based on a 2014 estimate, has more than $90 million in deferred maintenance.",0,0,0,0,0,0,0
2021,I n t a n g ible Assets - Information Tech,91,Citywide,Accela Implementation Phase 2,T19003,,,,3259464,3259465,"This project is the next phase in the effort to replace Development Services Department's (DSD) Project Tracking System (PTS). PTS is an in-house system which DSD and the Department of IT staff began developing in 1998 and placed into operation in 2001. DSD uses PTS as its core information system to manage the permitting and development functions for the department. These include the review, comment, issuance, inspection, and archiving functions which are needed in managing the department's permits and projects, as well as code enforcement activities. The scope of this project includes the design, configuration, testing, and deployment of the Development Services module of the Accela platform, as well as the enhancement of the Accela Citizen Access portal. Phase 2 will involve the following: create all permit and approval types found in PTS within Accela, enable multiple independent review cycle functionality to occur, accommodate different review methods (e.g., over-the-counter, submittal, and appointment), expand electronic plan review to digitize 100%, develop and update policies and procedures to support the Accela system, develop interfaces between Accela and other technologies, enhance the Accela Citizen Access public portal and develop and deliver employee training.",,0,0,0,0,0,0,0
2021,I n t a n g i b l e A s s e ts - Information Tech,92,Citywide,Centralized Payment Processing Solution,T19002,,,,454999,455000,This project will provide a centralized payment processing solution for several online applications. This project is to replace the legacy system used by the Office of the City Treasurer. This project will include the interfaces required for revenue and deposit reporting.,This project will consolidate online payment processes from multiple back-end programs which will provide a higher quality of service to the public and streamline payment processing citywide.,0,0,0,0,0,0,0
2021,Bldg - Other City Facility / Structures,93,Citywide,CIP Emergency Reserve,ABT00006,,,Council District: Citywide; Community Plan: Citywide,1000000,1000000,This annual allocation provides funding for urgent repairs due to an emergency or natural disaster.,This annual allocation provides an immediate source of funding for public works contracts when no alternative funding sources are available in order to respond quickly to an emergency or natural disaster.,0,0,0,0,0,0,0
2021,Bldg - Other City Facility / Structures,94,Citywide,Convention Center Phase III Expansion,S12022,,,Council District: 3; Community Plan: Centre City,3370819,685011298,"This project provides for the expansion of the existing San Diego Convention Center. The expansion will increase the existing leasable space by approximately 225,000 square feet of exhibit hall, 101,000 square feet of meeting rooms, and 80,000 square feet of ballrooms for an approximate total of 406,000 square feet.","The existing facility cannot accommodate some of the larger major events, which leads to the loss of events to other venues. The expansion is expected to increase the attendance and numbers of events held at the facility and provide significant economic benefits to the region.",681640478,0,0,0,0,0,0
2021,I n t a n g ible Assets - Information Tech,95,Citywide,Enterprise Funded IT Projects,ATT00002,,,,11089530,11089531,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with enterprise funding sources. Individual projects are expected to result in a city-owned asset, which can include, but is not limited to, equipment, system interfaces, and intellectual property.",This annual allocation provides for improvements and enhancements to information technology projects that are solely funded with enterprise resources and allows for increased reporting on these projects. Projects are also expected to have a duration longer than one fiscal year.,0,0,0,0,0,0,0
2021,Bldg - Other City Facility / Structures,96,Citywide,Fleet Operations Facilities,L14002,2022,2022,Council District: Citywide; Community Plan: Citywide,1936933,9121085,"This project will provide needed improvements within the City's Fleet Operations repair facilities. Phase 1 of this project provides for the electrical improvements at the Miramar Place Fleet Services. Phase 2 of this project provides for the electrical improvements at the Rose Canyon Fleet Services. Phase 3 of this project provides for the replacement of pump systems, sprayers, brushes, buildings/awnings, surrounding structures, etc. for three large car washes located at Chollas Operations Yard, 20th & B St. and at Rose Canyon. Phase 4 of this project provides for the replacement of two existing non-operational cranes with a runway system each with a 33-foot span and a capacity of 2- tons located within the Fleet Repair Facilities at the Chollas Operations Yard. Phase 5 of this project provides for the replacement of the Chollas Operations Yard paint booth that was built in the 1960's. Phase 6 of this project provides for the replacement or rehabilitation of nine existing small car washes located at the Police substations.",This project is necessary to properly equip the existing City's Fleet repair facilities to support the car and truck washes at 20th and B St. and the Chollas Operations Yard which are non-functional and in need of replacement. The other car and truck washes require a variety of repairs and upgrades. Washing City vehicles is a storm water compliance requirement to keep debris from falling in the roadway and the repairs and replacements are necessary to remain in compliance with storm water regulations. Chollas Operations Yard crane replacement and related improvements are needed to assist Fleet staff to safely and efficiently complete necessary repairs.,6792350,391801,0,0,0,0,0
2021,I n t a n g i b l e Assets - Information Tech,97,Citywide,Governmental Funded IT Projects,ATT00001,2022,2022,,1586799,2031800,"This annual allocation provides for upgrades and enhancements to information technology projects that are eligible for capitalization and funded exclusively with governmental funding sources. Individual projects are expected to have a duration longer than one fiscal year and result in a city-owned asset, which can include but is not limited to equipment, system interfaces, and intellectual property.",This annual allocation provides for improvements and enhancements to information technology projects that are solely funded with governmental resources and allows for increased reporting on these projects. Projects are also expected to have a duration longer than one fiscal year.,0,445000,0,0,0,0,0
