cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,year_2008,year_2009,year_2010,year_2011
2007,Safety/Security,15,Aviation Facilities,Airfield Rescue and Fire Fighting - Love Field,ROW1.1,,,1645957,1645957,0,0,0,0
2007,Pavement Maintenance / Construction,15,Aviation Facilities,Airfield Surface Repair - Love Field,ROW1.2,,,1117777,1117777,0,0,0,0
2007,Pavement Maintenance / Construction,15,Aviation Facilities,Airfield Surface Repair - Love Field,ROW1.3,,,4516327,4516327,0,0,0,0
2007,Environmental,15,Aviation Facilities,Asbestos Abatement - Dallas Executive Airport,ROW2.1,,,302884,302884,0,0,0,0
2007,Environmental,15,Aviation Facilities,Asbestos Abatement - Love Field,ROW2.2,,,4659409,4659409,0,0,0,0
2007,Aviation Land Acquisition,15,Aviation Facilities,Aviation Commercial Development,ROW3.1,,,16604904,16604904,0,0,0,0
2007,Terminal,15,Aviation Facilities,Baggage Claim Renovation - Love Field,ROW4.1,,,11280972,11280972,0,0,0,0
2007,Terminal,15,Aviation Facilities,Baggage Claim Renovation - Love Field,ROW4.2,,,3820729,3820729,0,0,0,0
2007,Safety/Security,15,Aviation Facilities,Bio-Explosive Detection System,ROW5.1,,,719224,719224,0,0,0,0
2007,Environmental,15,Aviation Facilities,Blast Fence Reconstruction- Love Field,ROW6.1,,,2783639,2783639,0,0,0,0
2007,Environmental,15,Aviation Facilities,Blast Fence Reconstruction- Love Field,ROW6.2,,,1109918,1109918,0,0,0,0
2007,Parking,15,Aviation Facilities,Computerized Parking and Taxi System - Love Field,ROW7.1,,,1461494,1461494,0,0,0,0
2007,Safety/Security,15,Aviation Facilities,Controlled Access Security - Love Field,ROW8.1,,,2860707,2860707,0,0,0,0
2007,Safety/Security,16,Aviation Facilities,Controlled Access Security - Love Field,ROW8.2,,,6348566,6348566,0,0,0,0
2007,Environmental,16,Aviation Facilities,Electrical System Upgrade - Love Field,ROW9.1,,,63145,63145,0,0,0,0
2007,Environmental,16,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,ROW10.1,,,312734,312734,0,0,0,0
2007,Environmental,16,Aviation Facilities,Environmental Programs - Love Field and Dallas Executive Airport,ROW10.2,,,2027663,2027663,0,0,0,0
2007,Terminal,16,Aviation Facilities,Equipment Maintenance Facility- Dallas Executive Airport,ROW11.1,,,903358,903358,0,0,0,0
2007,Landscaping,16,Aviation Facilities,Landscaping - Love Field,ROW12.1,,,3790242,3790242,0,0,0,0
2007,Terminal,16,Aviation Facilities,Master Plan Study - Love Field,ROW13.1,,,264702,264702,0,0,0,0
2007,Parking,16,Aviation Facilities,Parking Garage Expansion - Love Field,ROW14.1,,,16738594,16738594,0,0,0,0
2007,Safety/Security,16,Aviation Facilities,Pavement Condition Analysis Equipment,ROW15.1,,,111834,111834,0,0,0,0
2007,Terminal,16,Aviation Facilities,Public Safety Offices - Love Field,ROW16.1,,,1000000,1000000,0,0,0,0
2007,Pavement Maintenance / Construction,16,Aviation Facilities,Reconstruction of Airfield Pavement - Love Field,ROW17.1,,,5191048,5191048,0,0,0,0
2007,Pavement Maintenance / Construction,16,Aviation Facilities,Replace West Concourse Air Carrier Apron - Love Field,ROW18.1,,,6824942,6824942,0,0,0,0
2007,Pavement Maintenance / Construction,16,Aviation Facilities,Replace West Concourse Air Carrier Apron - Love Field,ROW18.2,,,2358500,2358500,0,0,0,0
2007,Parking,17,Aviation Facilities,Roadway and Parking Lot Improvements - Dallas Executive Airport,ROW19.1,,,2068889,2068889,0,0,0,0
2007,Terminal,17,Aviation Facilities,Roof Renovation - Love Field,ROW20.1,,,3403938,3403938,0,0,0,0
2007,Pavement Maintenance / Construction,17,Aviation Facilities,Runway Safety Area Enhancements,ROW21.1,,,942000,942000,0,0,0,0
2007,Safety/Security,17,Aviation Facilities,Signage Improvements - Dallas Executive Airport,ROW22.1,,,138666,138666,0,0,0,0
2007,Pavement Maintenance / Construction,17,Aviation Facilities,Taxiway/Apron Repairs - Dallas Executive Airport,ROW23.1,,,700000,700000,0,0,0,0
2007,Pavement Maintenance / Construction,17,Aviation Facilities,Taxiway/Apron Repairs - Dallas Executive Airport,ROW23.2,,,559511,559511,0,0,0,0
2007,Terminal,17,Aviation Facilities,Terminal Area Redevelopment Plan,ROW24.1,,,1008923,1008923,0,0,0,0
2007,Terminal,17,Aviation Facilities,Terminal Area Redevelopment Plan,ROW24.2,,,912000,912000,0,0,0,0
2007,Terminal,17,Aviation Facilities,Terminal HVAC Upgrade - Love Field,ROW24.3,,,31639065,31639065,0,0,0,0
2007,Terminal,17,Aviation Facilities,Terminal Improvements - Love Field,ROW24.4,,,14964918,14964918,0,0,0,0
2007,Terminal,17,Aviation Facilities,Terminal Renovation - Dallas Executive Airport,ROW24.5,,,5330018,5330018,0,0,0,0
2007,Terminal,17,Aviation Facilities,Terminal Renovation - Dallas Executive Airport,ROW24.6,,,6620801,6620801,0,0,0,0
2007,Environmental,17,Aviation Facilities,TxDot Grants Vehicle Program,ROW25.1,,,700000,700000,0,0,0,0
2007,Administrative and Internal Service Facilities,24,City Facilities,Americans with Disabilities Renovations,ROW26.1,,,763692,763692,0,0,0,0
2007,Animal Control Facilities,24,City Facilities,Animal Shelter,ROW27.1,,,3465866,3465866,0,0,0,0
2007,Animal Control Facilities,24,City Facilities,Animal Shelter,ROW27.2,,,11885329,11885329,0,0,0,0
2007,Library Facilities,24,City Facilities,Arcadia Park Branch Library (New) - Design and Construction,ROW28.1,,,4800985,4800985,0,0,0,0
2007,Library Facilities,24,City Facilities,Audelia Branch Library - Phase I Design and Renovation,ROW29.1,,,2893382,2893382,0,0,0,0
2007,Major Maintenance - Library,24,City Facilities,Audelia Branch Library - Replace Boiler,ROW29.2,2010,2010,0,200000,0,0,200000,0
2007,Library Facilities,24,City Facilities,B. B. Owen and Audelia Library Site Improvement,ROW30.1,,,425203,425203,0,0,0,0
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - City Facilities,ROW31.1,,,2081,2081,0,0,0,0
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - City Facilities,ROW31.2,2008,2008,0,10454,10454,0,0,0
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - Land Acquisition,ROW31.3,2008,2008,0,2781,2781,0,0,0
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - Library Facilities,ROW31.4,,,8361,8361,0,0,0,0
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - Library Facilities,ROW31.5,2008,2008,0,20904,20904,0,0,0
2007,Professional Services and Debt Issuance,24,City Facilities,Bond Sale Expense - Public Safety,ROW31.6,,,4134,4134,0,0,0,0
2007,Professional Services and Debt Issuance,25,City Facilities,Bond Sale Expense - Public Safety,ROW31.7,2008,2008,0,25482,25482,0,0,0
2007,Major Maintenance - City Facilities,25,City Facilities,Building Inspection Facility - 542 E Jefferson - Roof Replacement,ROW32.1,2009,2009,0,70000,0,70000,0,0
2007,Land Acquisition,25,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 10),ROW33.1,2008,2010,0,22551771,1509043,5606580,9822482,5613666
2007,Land Acquisition,25,City Facilities,Cadillac Heights Land Acquisition - (2006 Bond Program Proposition 12),ROW33.2,2008,2008,0,1193791,1193791,0,0,0
2007,Library Facilities,25,City Facilities,Casa View Branch Library - Replacement,ROW34.1,,,7129755,7129755,0,0,0,0
2007,Library Facilities,25,City Facilities,Central Library - 2nd and 6th Floors Renovation,ROW35.1,,,1687500,1687500,0,0,0,0
2007,Major Maintenance - Library,25,City Facilities,Central Library - 3rd Floor Renovation,ROW35.2,,,1140647,1140647,0,0,0,0
2007,Major Maintenance - Library,25,City Facilities,Central Library - 3rd Floor Renovation,ROW35.3,,,795000,795000,0,0,0,0
2007,Library Facilities,25,City Facilities,Central Library - Downtown Branch,ROW35.4,2009,2009,0,2200000,0,2200000,0,0
2007,Library Facilities,25,City Facilities,Central Library - Improvements,ROW35.5,,,5246672,5246672,0,0,0,0
2007,Major Maintenance - Library,25,City Facilities,Central Library - Main Fire Panel,ROW35.6,2008,2008,0,177800,177800,0,0,0
2007,Major Maintenance - Library,25,City Facilities,Central Library - Replace Electronic HVAC Filters,ROW35.7,,,254000,254000,0,0,0,0
2007,Major Maintenance - Public Safety,25,City Facilities,Central Police - Emergency Generator and HVAC Upgrade,ROW35.8,,,746249,746249,0,0,0,0
