cip_year,project_type,source_page,department,project_name,start_year,end_year,previous_appropriations,project_total,year_2011,year_2012,year_2013,year_2014
2010,Pavement Maintenance / Construction,15,Aviation Facilities,Airfield Surface Repair,,,5190822,5190822,0,0,0,0
2010,Environmental,15,Aviation Facilities,Asbestos Abatement,,,5078790,5078790,0,0,0,0
2010,Aviation Land Acquisition,15,Aviation Facilities,Aviation Land Acquisition,,,18668844,18668844,0,0,0,0
2010,Terminal,15,Aviation Facilities,Baggage Claim Renovation,,,11073824,11073824,0,0,0,0
2010,Safety/Security,15,Aviation Facilities,Bio-Explosive Detection System,,,1335311,1335311,0,0,0,0
2010,Parking,15,Aviation Facilities,Computerized Parking and Taxi System,,,1461494,1461494,0,0,0,0
2010,Pavement Maintenance / Construction,15,Aviation Facilities,Construction of Taxi Cab Holding Area,,,300000,300000,0,0,0,0
2010,Safety/Security,15,Aviation Facilities,Controlled Access Security,,,7598820,7598820,0,0,0,0
2010,Environmental,15,Aviation Facilities,Dallas Executive Stormwater Outflow,,,1369479,1369479,0,0,0,0
2010,Environmental,16,Aviation Facilities,Environmental Programs,,,8330743,8330743,0,0,0,0
2010,Terminal,16,Aviation Facilities,Equipment Maintenance Facility- Dallas Executive Airport,,,823064,823064,0,0,0,0
2010,Love Field Major Maintenance,16,Aviation Facilities,Love Field Modernization Program,,,533078,533078,0,0,0,0
2010,Terminal,16,Aviation Facilities,Love Field North and West Airfield Lighting Vaults Relocation,,,4109653,4109653,0,0,0,0
2010,Terminal,16,Aviation Facilities,Maintenance Facility,,,472446,472446,0,0,0,0
2010,Parking,16,Aviation Facilities,Parking Garage Expansion,,,16738425,16738425,0,0,0,0
2010,Love Field Major Maintenance,16,Aviation Facilities,People-Mover Connector,,,5311092,5311092,0,0,0,0
2010,Love Field Major Maintenance,16,Aviation Facilities,Program Management for Love Field Modernization Program (LFMP) and Capital Improvement Projects (CIP),,,10311530,10311530,0,0,0,0
2010,Terminal,16,Aviation Facilities,Program Management Services,2011,2011,0,6400000,6400000,0,0,0
2010,Terminal,16,Aviation Facilities,Public Safety Offices,,,749937,749937,0,0,0,0
2010,Pavement Maintenance / Construction,16,Aviation Facilities,"Reconstruction and Extension of Taxiway ""L""",,,10407140,10407140,0,0,0,0
2010,Pavement Maintenance / Construction,16,Aviation Facilities,"Reconstruction of Taxiway ""C""",,,6352775,6352775,0,0,0,0
2010,Pavement Maintenance / Construction,17,Aviation Facilities,Replace West Concourse Air Carrier Apron,,,7608388,7608388,0,0,0,0
2010,Terminal,17,Aviation Facilities,Roof Renovation,,,3404919,3404919,0,0,0,0
2010,Pavement Maintenance / Construction,17,Aviation Facilities,Runway Enhancement-13L/31R,,,124501,124501,0,0,0,0
2010,Pavement Maintenance / Construction,17,Aviation Facilities,Runway Safety Area Enhancements,,,5816474,5816474,0,0,0,0
2010,Pavement Maintenance / Construction,17,Aviation Facilities,Security Gates and Overlay Runways,,,4031670,4031670,0,0,0,0
2010,Pavement Maintenance / Construction,17,Aviation Facilities,Taxiway or Apron Repairs,,,711724,711724,0,0,0,0
2010,Terminal,17,Aviation Facilities,Terminal Area Redevelopment Plan,,,1248951,1248951,0,0,0,0
2010,Terminal,17,Aviation Facilities,Terminal HVAC Upgrade,,,29717333,29717333,0,0,0,0
2010,Terminal,17,Aviation Facilities,Terminal Renovation,,,8434042,8434042,0,0,0,0
2010,Environmental,18,Aviation Facilities,TxDot Grants Vehicle Program,,,700000,700000,0,0,0,0
2010,Terminal,18,Aviation Facilities,Vertiport Lighting Upgrade,,,250000,250000,0,0,0,0
2010,Administrative and Internal Service Facilities,24,City Facilities,Americans with Disabilities Renovations,,,1128267,1128267,0,0,0,0
2010,Animal Control Facilities,24,City Facilities,Animal Control Shelter,,,15631195,15631195,0,0,0,0
2010,Library Facilities,24,City Facilities,Audelia Branch Library,2012,2012,2892362,3092362,0,200000,0,0
2010,Major Maintenance - City Facilities,24,City Facilities,Building Inspection Facility - 542 E Jefferson,2011,2011,0,70000,70000,0,0,0
2010,Land Acquisition,24,City Facilities,Cadillac Heights Land Acquisition,2011,2012,8309414,22172562,2427121,11436027,0,0
2010,Library Facilities,24,City Facilities,Casa View Branch Library,,,7131551,7131551,0,0,0,0
2010,Library Facilities,24,City Facilities,Central Library,,,10959696,10959696,0,0,0,0
2010,Major Maintenance - Public Safety,25,City Facilities,Central Police,,,746249,746249,0,0,0,0
2010,Major Maintenance - City Facilities,25,City Facilities,Central Service Center,,,1697716,1697716,0,0,0,0
2010,Professional Services and Debt Issuance,25,City Facilities,CIP Engineering,2011,2011,5732016,6332016,600000,0,0,0
2010,Major Maintenance - City Facilities,25,City Facilities,CIS Data Center,,,404020,404020,0,0,0,0
2010,Studies and Master Plans,25,City Facilities,City Facilities,,,825000,825000,0,0,0,0
2010,Administrative and Internal Service Facilities,25,City Facilities,City Facilities Contingency,,,3388,3388,0,0,0,0
2010,Major Maintenance - City Facilities,26,City Facilities,City Hall,2011,2012,4334614,9865614,1796400,3734600,0,0
2010,Major Maintenance - City Facilities,26,City Facilities,City Hall Data Center,,,11000000,11000000,0,0,0,0
2010,Major Maintenance - City Facilities,26,City Facilities,City Hall Renovations,,,77425,77425,0,0,0,0
2010,Major Maintenance - City Facilities,26,City Facilities,City Service Center Signage Improvements,,,164872,164872,0,0,0,0
2010,Studies and Master Plans,26,City Facilities,City-Wide Multi Purpose Center,2011,2011,0,450000,450000,0,0,0
2010,Major Maintenance - Staff Accountability,26,City Facilities,Communication Building,,,15697,15697,0,0,0,0
2010,Fire Protection Facilities,26,City Facilities,Contingency Reserve,2012,2012,9492676,16886469,0,7393793,0,0
2010,Library Facilities,26,City Facilities,Dallas West Branch Library,,,1822934,1822934,0,0,0,0
