cip_year,project_type,source_page,department,project_name,project_id,start_year,end_year,previous_appropriations,project_total,2022,2023,2024
2022,Pavement Maintenance/ Construction,16,Aviation Capital Program,Airfield Pavement Evaluation - W214,W214.1,2022,2024,505587,2521648,16061,"1,000,000","1,000,000"
2022,Terminal,16,Aviation Capital Program,Airport Emergency Operations Center - W685,W685.1,2022,2022,0,2000000,2000000,0,0
2022,Capital Improvement Program,16,Aviation Capital Program,Airport Planning and Advisory Services - 1725,1725.1,2022,2024,6283184,13905000,4621816,"1,000,000","1,000,000"
2022,Capital Improvement Program,16,Aviation Capital Program,Airport Planning and Advisory Services - 1725,1725.2,2022,2022,0,2000000,2000000,0,0
2022,Capital Improvement Program,16,Aviation Capital Program,Architectural Engineering Roster - W286,W286.1,2022,2022,1329,154500,153171,0,0
2022,Capital Improvement Program,16,Aviation Capital Program,Aviation Parking Garage - 8738,8738.1,2022,2022,1653184,3757407,2104223,0,0
2022,Capital Improvement Program,16,Aviation Capital Program,CONRAC - W280,W280.1,2023,2023,0,1000000,0,"1,000,000",0
2022,Capital Improvement Program,16,Aviation Capital Program,Construction Management/ Project Management - W371,W371.1,2022,2024,1430186,7428666,(1520),"3,000,000","3,000,000"
2022,Pavement Maintenance/ Construction,17,Aviation Capital Program,Crossfield Taxiway Reconfiguration - W125,W125.1,2022,2022,2384323,32731969,30347646,0,0
2022,Pavement Maintenance/ Construction,17,Aviation Capital Program - Commercial Paper,Crossfield Taxiway Reconfiguration - W125,W125.2,2022,2022,3758,22156749,22152991,0,0
2022,Terminal,17,Aviation Capital Program,DAL A/E Space Planning Implementation - W469,W469.1,2022,2022,0,750000,750000,0,0
2022,Capital Improvement Program,17,Aviation Capital Program,DAL Alternate Entry - W287,W287.1,2022,2022,0,214710000,30210000,0,0
2022,Capital Improvement Program,17,Aviation Capital Program,DAL Elevator Study - W360,W360.1,2022,2023,371040,471300,260,"100,000",0
2022,Capital Improvement Program,17,Aviation Capital Program,DAL EMS Suite - W357,W357.1,2022,2023,187027,1508000,1120973,"200,000",0
2022,Capital Improvement Program,17,FAA Grants,DAL Replacement Fire Station - W358,W358.1,2024,2024,0,3400000,0,0,"3,400,000"
2022,Safety/ Security,17,Aviation Capital Program,DAL Replacement Fire Station - W358,W358.2,2022,2024,546965,29304188,19461035,0,"9,296,188"
2022,Capital Improvement Program,17,Aviation Capital Program,DAL Streetscape Enhancements - W387,W387.1,2022,2024,3344404,3695863,115095,"118,182","118,182"
2022,Capital Improvement Program,17,Aviation Capital Program,DAL Streetscape Enhancements - W387,W387.2,2022,2022,467953,25070000,24602047,0,0
2022,Capital Improvement Program,17,FAA Grants,DAL Streetscape Enhancements - W387,W387.3,2023,2024,0,7467994,0,"6,767,994","700,000"
2022,Capital Improvement Program,18,Aviation Capital Program,DAL-Entrance Road Improvements - W167,W167.1,2022,2023,15029486,15420575,(8911),"400,000",0
2022,Capital Improvement Program,18,Aviation Capital Program,Dallas Vertiport Fuel System - W215,W215.1,2022,2022,0,1257409,1257409,0,0
2022,Capital Improvement Program,18,Aviation Capital Program,DAS Exterior Lighting Improvements - W359,W359.1,2022,2022,1864802,1865509,707,0,0
2022,Pavement Maintenance/ Construction,18,Aviation Capital Program,DEA Extend Taxiway E - W388,W388.1,2022,2024,0,2057500,463300,"858,200","736,000"
2022,Capital Improvement Program,18,Aviation Capital Program,DEA Streetscape Enhancements - W367,W367.1,2022,2024,569534,7069693,158,0,"6,500,000"
2022,Pavement Maintenance/ Construction,18,Aviation Capital Program,DEA Taxiway Apron Infill - Design - W334,W334.1,2022,2022,0,850000,850000,0,0
2022,Capital Improvement Program,18,Aviation Capital Program,DEA West Development Payback - W285,W285.1,2022,2022,100100,7764286,7664186,0,0
2022,Capital Improvement Program,18,Aviation Capital Program,Drainage Master Plan - Schematic Design - W133,W133.1,2022,2022,101638,12800638,12699000,0,0
2022,Capital Improvement Program,18,Aviation Capital Program,Elevator Upgrades - W391,W391.1,2022,2024,0,1423700,873700,0,"550,000"
2022,Capital Improvement Program,18,Aviation Capital Program,Elevator Upgrades- Ph 2 - W889,W889.1,2023,2023,0,1700000,0,"1,700,000",0
2022,Capital Improvement Program,18,Aviation Capital Program,Elevator Upgrades- Ph 3 - W890,W890.1,2024,2024,0,1800000,0,0,"1,800,000"
2022,Capital Improvement Program,18,Aviation Capital Program,Gararge A and Terminal Roadway Rebuild - W687,W687.1,,,0,277500000,0,0,0
2022,Terminal,19,Aviation Capital Program,Love Fld Major Maintenance - 8707,8707.1,2022,2024,14506585,22506585,2000000,0,"3,000,000"
2022,Capital Improvement Program,19,Aviation Capital Program,Material Testing for Construction Work - W152,W152.1,2022,2022,0,551361,551361,0,0
2022,Capital Improvement Program,19,FAA Grants,People-mover Connector - 8710,8710.1,2022,2022,5012736,5311092,298356,0,0
2022,Pavement Maintenance/ Construction,19,Aviation Capital Program,Reconstruct RWY 13R 31L - D019,D019.1,2022,2022,9275454,70530927,61255473,0,0
2022,Pavement Maintenance/ Construction,19,Aviation Capital Program - Commercial Paper,Reconstruct RWY 13R 31L - D019,D019.2,2022,2022,77166368,82166368,5000000,0,0
2022,Pavement Maintenance/ Construction,19,FAA Grants,Reconstruct RWY 13R 31L - D019,D019.3,2022,2022,25503046,25726455,223409,0,0
2022,Pavement Maintenance/ Construction,19,Aviation Capital Program,Rehabilitate Taxiway C Phase 2 - W281,W281.1,2022,2022,444000,193200,(250800),0,0
2022,Pavement Maintenance/ Construction,19,FAA Grants,Rehabilitate Taxiway C Phase 2 - W281,W281.2,,,0,0,0,0,0
2022,Pavement Maintenance/ Construction,19,Aviation Capital Program,Rehabilitate Taxiway C: Taxi D to Taxi C - W122,W122.1,2022,2022,3692293,24898000,21205707,0,0
2022,Pavement Maintenance/ Construction,19,Aviation Capital Program - Commercial Paper,Rehabilitate Taxiway C: Taxi D to Taxi C - W122,W122.2,2022,2022,20724434,18443140,(2281294),0,0
2022,Pavement Maintenance/ Construction,19,FAA Grants,Rehabilitate Taxiway C: Taxi D to Taxi C - W122,W122.3,,,0,0,0,0,0
2022,Pavement Maintenance/ Construction,20,Aviation Capital Program,Reonstruct Taxiway A (Phase 1) TWY D to - W288,W288.1,2023,2023,0,12882194,0,"12,882,194",0
2022,Pavement Maintenance/ Construction,20,Aviation Capital Program - Commercial Paper,Reonstruct Taxiway A (Phase 1) TWY D to - W288,W288.2,2023,2023,0,16405836,0,"16,405,836",0
2022,Pavement Maintenance/ Construction,20,FAA Grants,Reonstruct Taxiway A (Phase 1) TWY D to - W288,W288.3,2023,2023,0,9700000,0,"9,700,000",0
2022,Pavement Maintenance/ Construction,20,Aviation Capital Program,Reonstruct Taxiway A (Phase 1) TWY D to - W798,W798.1,2023,2023,0,3600000,0,"3,600,000",0
2022,Homeless Housing Services,25,2017 Bonds,19393 Preston Rd [Candlewood Suites] - VJ06,VJ06.1,2022,2022,513591,513990,399,0,0
2022,Homeless Housing Services,25,2017 Bonds,2949 S. Hampton Rd - VJ16,VJ16.1,2022,2022,11500,6587615,6576115,0,0
2022,Library Facilities,25,2006 Bonds,6th Floor Renovation - W266,W266.1,2022,2022,956809,980940,24131,0,0
2022,City and Municipal Court Facilities,25,2006 Bonds,ADA Improvements - W793,W793.1,2022,2022,0,2264118,2264118,0,0
2022,Major Maintenance,25,Other GO CIP - Non-Debt,ADA Improvements- Major Maintenance and Repairs - W663,W663.1,2022,2022,368450,500000,131550,0,0
2022,City and Municipal Court Facilities,25,Other GO CIP - Non-Debt,ADA Upgrades at Canton - W911,W911.1,2023,2023,0,630000,0,"630,000",0
2022,Fleet/Equipmen t Replacement,25,Other GO CIP - Debt,Apparatus Replacement - E313,E313.1,2022,2022,32957624,33350000,392376,0,0
2022,Land Acquisition,25,2006 Bonds,Cadillac Heights Land Acquisition - T825,T825.1,2022,2022,629945,11690881,11060935,0,0
2022,Fleet/Equipmen t Replacement,25,Other GO CIP - Debt,Case Management System - E314,E314.1,2022,2022,3246908,3379178,132270,0,0
2022,Library Facilities,26,2003 Bonds,Central Library - Elevators - W156,W156.1,2022,2022,19929,107806,87877,0,0
2022,Library Facilities,26,2017 Bonds,Central Library - Elevators - W156,W156.2,2022,2022,0,22932,22932,0,0
2022,Police Facilities,26,2017 Bonds,Central Patrol Station - VG33,VG33.1,2022,2022,3378,151000,147622,0,0
2022,City and Municipal Court Facilities,26,2017 Bonds,Central Service Center- Sanitation Building - VH04,VH04.1,2022,2022,122425,149999,27575,0,0
2022,Major Maintenance,26,Other GO CIP - Non-Debt,City Facilities Improvements - W221,W221.1,,,7140997,7140997,0,0,0
2022,City and Municipal Court Facilities,26,2006 Bonds,City Hall - Tank Replacement - T749,T749.1,2022,2022,14000,15407,1407,0,0
2022,City and Municipal Court Facilities,26,2017 Bonds,City Hall - Tank Replacement - T749,T749.2,2022,2022,0,144757,144757,0,0
2022,City and Municipal Court Facilities,26,2017 Bonds,City Hall - VH05,VH05.1,2023,2023,3355,1871583,0,"1,868,228",0
2022,Technology,26,Other GO CIP - Debt,City Hall Data Center - Renovations - P478,P478.1,2022,2022,299517,5200000,4900483,0,0
2022,Technology,26,Other GO CIP - Debt,Citywide Radio System Replacement - E384,E384.1,2022,2022,53975572,54899072,923500,0,0
