cip_year,project_type,source_page,department,project_name,start_year,end_year,address_location,previous_appropriations,project_total,description,justification,unidentified_funding,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
2018,Airport Assets,85,Airports,Brown Field,,,Council District: 8; Community Plan: Kearny Mesa,15369123,0,,,0,0,0,0,0,0,0
2018,Airport Assets,86,Airports,Montgomery-Gibbs Executive Airport,,,Council District: 6; Community Plan: Kearny Mesa,10909944,0,,,0,0,0,0,0,0,0
2018,Bldg - Operations Facility / Structures,94,Citywide,101 Ash Improvements,2019,2019,Council District: 3; Community Plan: Centre City,18005383,0,,,0,7875024,0,0,0,0,0
2018,Intangible Assets Information Tech,95,Citywide,Centralized Payment Processing Solution,,,,255000,0,,,0,0,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,96,Citywide,CIP Emergency Reserve,,,Council District: Citywide; Community Plan: Citywide,1000000,0,,,0,0,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,97,Environmental Services,Citywide Energy Improvements,,,Council District: Citywide; Community Plan: Citywide,31003714,0,,,0,0,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,98,Citywide,Convention Center Phase III Expansion,,,Council District: 3; Community Plan: Centre City,3370820,0,,,681640478,0,0,0,0,0,0
2018,Intangible Assets Information Tech,99,Citywide,Enterprise Funded IT Projects,2019,2019,,0,0,,,0,1514000,0,0,0,0,0
2018,Intangible Assets Information Tech,100,Citywide,311 Enhancements,2019,2019,,0,0,,,0,550000,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,101,Citywide,Fleet Services Elect & Fac Improvements,,,Council District: 1 2 4; Community Plan: Clairemont Mesa; University,2081960,0,,,0,0,0,0,0,0,0
2018,Intangible Assets Information Tech,102,Citywide,Get It Done Expansion (311 Customer Exp),,,,3527784,0,,,0,0,0,0,0,0,0
2018,Intangible Assets Information Tech,103,Citywide,Governmental Funded IT Projects,2019,2019,,0,0,,,0,1158800,0,0,0,0,0
2018,Intangible Assets Information Tech,104,Citywide,I AM Enhancements,2019,2019,,0,0,,,0,501679,0,0,0,0,0
2018,Intangible Assets Information Tech,105,Citywide,I AM San Diego Project,,,Council District: Citywide; Community Plan: Citywide,47074185,0,,,0,0,0,0,0,0,0
2018,Bldg - Stadium Facilities,106,Citywide,Stadium,,,Council District: 6; Community Plan: Mission Valley,808734,0,,,0,0,0,0,0,0,0
2018,Landfills,113,Environmental Services,Aerated Static Pile System,,,Council District: 6; Community Plan: Priority Category: High,4999999,0,,,0,0,0,0,0,0,0
2018,Landfills - Supporting Fac / Struct,114,Environmental Services,CNG Fueling Station for Refuse & Recycling,,,Council District: 1; Community Plan: University,5299999,0,,,0,0,0,0,0,0,0
2018,Landfills,115,Environmental Services,Minor Improvements to Landfills,2019,2022,Council District: Citywide; Community Plan: Citywide,2834975,0,,,0,1000000,200000,200000,200000,0,0
2018,Landfills,116,Environmental Services,Miramar Landfill Facility Improvements,2019,2022,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,19199999,0,,,0,2000000,2000000,2000000,2000000,0,0
2018,Landfills,117,Environmental Services,Miramar Landfill Gas Recovery Improvemen,,,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,9649999,0,,,0,0,0,0,0,0,0
2018,Landfills,118,Environmental Services,Miramar Landfill Storm Water Improvement,,,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,100000,0,,,0,0,0,0,0,0,0
2018,Landfills,119,Environmental Services,Miramar Landfill Storm Water Improvements,2019,2022,Council District: 6; Community Plan: University,19299999,0,,,0,1000000,1000000,1000000,1000000,0,0
2018,Landfills - Supporting Fac / Struct,120,Environmental Services,South Chollas Landfill Improvements,,,Council District: 4; Community Plan: Mid-City: Eastern Area,15828623,0,,,0,0,0,0,0,0,0
2018,Bldg - Other City Facility / Structures,121,Environmental Services,West Miramar Landfill - Phase 2,,,Council District: 6; Community Plan: University; Kearny Mesa; Clairemont Mesa,1659999,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Lifeguard Stations,131,Fire-Rescue,Children's Pool Lifeguard Station,,,Council District: 1; Community Plan: La Jolla,4543674,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,132,Fire-Rescue,Fire Station No. 02 - Bayside,,,Council District: 3; Community Plan: Centre City - Little Italy,20021283,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,133,Fire-Rescue,Fire Station No. 05 - Hillcrest,,,Council District: 3; Community Plan: Uptown,9249922,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,134,Fire-Rescue,Fire Station No. 08 - Mission Hills,,,Council District: 3; Community Plan: Uptown,1238499,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,135,Fire-Rescue,Fire Station No. 15 - Ocean Beach Expansion,,,Council District: 2; Community Plan: Ocean Beach,1030713,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,136,Fire-Rescue,Fire Station No. 17 - Mid-City,,,Council District: 9; Community Plan: Mid-City: City Heights,9153623,0,,,0,0,0,0,0,0,0
2018,Bldg - Pub Safety - Fire Fac / Struct,137,Fire-Rescue,Fire Station No. 22 - Point Loma,,,Council District: 2; Community Plan: Peninsula,9063159,0,,,0,0,0,0,0,0,0
